[0.1554067,0.20701653];[-3.37287948e-04,3.67545969e-04,2.79505667e-01,9.60143917e-01];[[2.12159349, 1.46680296], [2.65000004, -1.95000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.079219490755298], [14.269133375238214], [0], [0], [0], [0], [0], [0], [0], [0]];[2.12159349,1.46680296]
[1.90723337,1.32968336];[-1.36472697e-03,4.45719421e-04,2.75571890e-01,9.61279390e-01];[[2.64799343, -1.47574025], [4.32110073, 0.88756237], [1.29994441, 3.43568174], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[249.47897237220303], [0.0], [278.9769175625849], [0], [0], [0], [0], [0], [0], [0]];[1.29994441,3.43568174]
[1.36851513,3.18687666];[0.00125891,0.00202558,0.80056764,0.59923764];[[4.75481916, 0.70351597], [2.46292242, -1.64480887], [0.40000001, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.870821533011001], [178.5358627555634], [6.577742813725619], [0], [0], [0], [0], [0], [0], [0]];[2.46292242,-1.64480887]
[2.48924444,-1.6426011];[-2.55025485e-03,-5.01735623e-04,-7.17104697e-01,6.96960625e-01];[[4.33429742, -4.11036433], [4.10000006, -1.44999984], [-0.30000001, -4.09999988], [-1.20000002, -0.99999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.693758455111129], [8.208784954663777], [7.693758455111129], [143.4592513598125], [0], [0], [0], [0], [0], [0]];[-1.20000002,-0.99999983]
[-1.42635955,-0.90235936];[8.15527579e-04,6.30962618e-03,8.74968954e-01,4.84137223e-01];[[5.35842667, -2.56189332], [-4.13333338, 1.3333331], [-3.30000003, -3.95000032], [-0.29999999, -4.10000032], [-1.5, 5.19999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.643500827862441], [8.99266075892085], [0.0], [8.99266075892085], [8.643500827862445], [0], [0], [0], [0], [0]];[-4.13333338,1.3333331]
[-3.94233847,1.16941525];[0.00204484,0.00591995,0.93258626,0.36089284];[[7.35189295, -2.10712779], [-0.10278893, -4.59234902], [5.2000006, -2.6000003], [-1.4999995, 5.19999982], [-4.29999954, -5.90000034], [-7.59999959, -2.56299973e-07], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.558554229840986], [9.028632535845023], [26.340776281379352], [9.028632535845023], [8.39485693593087], [9.381121576348496], [0], [0], [0], [0]];[7.35189295,-2.10712779]
[7.10805768,-2.02754945];[-0.0022466,,0.00159801,-0.15809342,0.98742031];[[-3.34999972, -4.00000032], [-8.09999979, 0.74999975], [8.50000046, 1.79999977], [-0.89999968, -3.1000003], [-1.59999969, 5.09999982], [-4.09999973, -5.80000034], [-7.49999978, 2.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [20.82360207174537], [23.420775035264576], [35.98797316570365], [22.059372940184478], [20.24810632673481], [20.82360207174537], [0], [0], [0]];[-0.89999968,-3.1000003]
[-0.81463486,-3.36147914];[0.00236631,0.00218226,0.9989495,0.04571129];[[-8.09999979, 0.74999975], [8.50000046, 1.79999977], [-1.59999969, 5.09999982], [-3.79999972, -3.80000031], [-4.09999973, -5.80000034], [-7.49999978, 2.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.0481527905659], [29.801377350703365], [13.140073029862995], [12.359880799383706], [23.656512407921905], [11.783134286139907], [0], [0], [0], [0]];[8.50000046,1.79999977]
[8.53291778,1.78378554];[-6.96944371e-04,1.20528754e-03,3.70256066e-01,9.28928683e-01];[[-7.85870202, 1.40129528], [-1.59999969, 5.19999982], [-3.89999973, -3.90000031], [-4.19999973, -5.80000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[127.57852559574656], [82.60050327251838], [254.81373189221586], [151.15194343611918], [0], [0], [0], [0], [0], [0]];[-3.89999973,-3.90000031]
[-3.92277313,-3.87996231];[0.00255324,0.00268295,0.94783609,-0.31873659];[[-1.29999969, 5.10000027], [-5.49999975, -2.69999984], [-7.49999978, 2.50000024], [-8.39999979, 0.80000021], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[39.739770581850166], [0.0], [42.205181657208996], [35.11901405044596], [0], [0], [0], [0], [0], [0]];[-7.49999978,2.50000024]
