[0.16347127,0.21608363];[-4.23087069e-04,5.92059908e-04,2.89246543e-01,9.57254360e-01];[[1.41425985, 1.8086095], [3.00000005, -0.30000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[472.5815787421002], [470.07861164193343], [0], [0], [0], [0], [0], [0], [0], [0]];[1.41425985,1.8086095]
[1.26817614,1.60561249];[6.69365471e-04,-9.62915604e-04,4.28879439e-01,9.03360974e-01];[[4.10722256, 2.14324319], [2.85664794, 3.6100374], [2.73157265, 0.24275604], [1.04608348, -0.90967444], [4.10568953, 4.61559153], [1.20000002, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.732545638305515], [11.789314727175034], [11.752963033884006], [11.816576127488462], [10.696211372034606], [11.816576127488478], [0], [0], [0], [0]];[1.20000002,3.10000004]
[1.19838055,2.84485032];[-0.00114732,0.00178667,0.7023958,,0.71178342];[[3.58999415, 1.14443595], [0.30000001, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.825947495422725], [5.818438699696621], [0], [0], [0], [0], [0], [0], [0], [0]];[3.58999415,1.14443595]
[3.39003326,1.28334234];[-7.30052041e-04,6.49797863e-05,-2.90259241e-01,9.56947775e-01];[[6.09545612, -0.50201821], [8.80000014, 1.69999991], [4.28807735, -0.50761247], [0.06863341, -0.30169022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.33549775661259146], [0.33456434273146507], [0.3692538504755631], [48.963900366003266], [0], [0], [0], [0], [0], [0]];[0.06863341,-0.30169022]
[0.30554894,-0.1868271];[-1.18691935e-03,2.19497792e-04,9.76617262e-01,-2.14982001e-01];[[2.29771883, -3.78349628], [8.66666924, 1.19765735], [5.49918008, -4.04266548], [-0.16501047, 1.60788691], [4.60000007, -2.30000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[557.7480637329198], [514.810972306427], [531.632167270036], [595.6298593963504], [563.0632394093677], [0], [0], [0], [0], [0]];[-0.16501047,1.60788691]
[-0.09368197,1.37296651];[-7.32207115e-04,4.56713297e-04,7.94930197e-01,6.06700272e-01];[[-2.04013973, -0.80208048], [2.79873432, -4.37010439], [4.70000012, -2.40000014], [-0.29999996, 3.09999994], [-1.29999997, -3.20000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [460.470036826752], [463.8347345254023], [513.01771391431], [803.9756294459812], [0], [0], [0], [0], [0]];[-1.29999997,-3.20000015]
[-1.36050745,-3.30220346];[-0.00504241,-0.00180245,-0.71998817,0.69396568];[[2.25000004, -4.19999983], [8.83889913, 1.9383796], [4.77440264, -2.13432408], [-0.15, -4.09999983], [-0.3, 3.10000028], [-2.10000003, 4.7000003], [-2.80000004, -0.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[113.91993545949876], [0.0], [109.67302876379608], [119.91608881988265], [108.72623394747298], [108.87226239443284], [223.08637746046116], [0], [0], [0]];[-2.80000004,-0.19999977]
[-2.70147107,-0.44503507];[-0.00391618,0.0028068,,0.8228121,,0.5682931];[[2.74397176, -4.33372006], [-3.90923769, -0.29920934], [4.69999999, -2.39999985], [-8.49366186e-08, -3.89999987], [-1.71273887, 4.87844181], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[102.01743224854057], [111.23233341433469], [269.3686234615094], [106.04766930245906], [106.14308902889557], [0], [0], [0], [0], [0]];[4.69999999,-2.39999985]
[4.66583951,-2.36787042];[-0.00169757,-0.00386596,-0.24296269,0.97002644];[[9.09999988, 1.60000032], [7.43103456, 2.11367869], [1.69999977, -4.39999977], [-2.56299973e-07, -3.89999976], [-3.60000031, 0.2000003], [-5.95394564, 2.90624142], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [14.937631341395903], [15.4071452664996], [15.4071452664996], [44.32190347906737], [43.81759977111952], [0], [0], [0], [0]];[-3.60000031,0.2000003]
[-3.3595568,,0.14873623];[1.24096408e-04,3.39796571e-03,9.98042359e-01,6.24491257e-02];[[-6.10513989, 2.53196287], [-4.20000032, 0.20000019], [1.69999977, -4.39999987], [-2.56299973e-07, -3.89999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.161925159631895], [25.391617104186682], [24.161925159631885], [24.76438159484591], [0], [0], [0], [0], [0], [0]];[-4.20000032,0.20000019]
[-3.61092783,0.36278871];[-0.00323127,-0.00110799,0.25585997,0.96670782];[[-6.74579379, 2.2316986], [-7.99999959, 1.90734863e-07], [1.90000056, -4.19999987], [5.3346157e-07, -3.89999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[41.88897280000537], [25.008154017508918], [24.424472364921588], [25.008154017508893], [0], [0], [0], [0], [0], [0]];[-6.74579379,2.2316986]
[-8.24613972,2.61854343];[4.36440900e-04,6.40178303e-04,9.57892781e-01,2.87125093e-01];[[1.90000056, -4.19999987], [5.3346157e-07, -3.89999987], [-2.2999995, 5.20000027], [-7.49999958, -2.29999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.647692805254554], [29.352506432433184], [24.738136189889513], [30.87877613910593], [0], [0], [0], [0], [0], [0]];[-7.49999958,-2.29999984]
[-7.55016804,-2.17645805];[7.26901529e-04,5.11562073e-03,-5.54380635e-01,8.32247205e-01];[[-7.8427368, -2.45586924], [1.90000056, -4.19999987], [5.3346157e-07, -3.89999987], [-2.2999995, 5.20000027], [-4.29999953, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.5346094402487414], [0.9579565457427729], [1.0958995142268055], [1.0859526702388853], [1.1086497721786357], [0], [0], [0], [0], [0]];[-7.8427368,-2.45586924]
[-7.93556621,-2.49568353];[0.00120442,-0.00472944,0.88103795,-0.47302042];[[1.90000056, -4.19999987], [5.3346157e-07, -3.89999987], [-2.2999995, 5.20000027], [-4.29999953, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0770528055190007], [0.9755857547900478], [1.0554223949748354], [1.1086497721784068], [0], [0], [0], [0], [0], [0]];[-4.29999953,-4.09999987]
[-4.52508709,-4.02374972];[0.01012438,0.00623844,-0.17684586,0.98416671];[[2.49362134, -4.55474189], [5.3346157e-07, -3.89999987], [-2.2999995, 5.20000027], [-7.59999958, -2.49999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0656961063223778], [0.9738677335797902], [0.9408104942081504], [1.2029337044106982], [0], [0], [0], [0], [0], [0]];[-7.59999958,-2.49999985]
