[0.16580882,0.21687916];[-5.14518104e-04,3.23174143e-04,2.81459478e-01,9.59572924e-01];[[3.40000005, 1.00000001], [2.30000004, -1.40000002], [2.10000003, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[444.6936063059924], [414.3462087211732], [434.32962904844703], [0], [0], [0], [0], [0], [0], [0]];[3.40000005,1.00000001]
[3.15065188,0.93341492];[-4.14466482e-04,-9.82096780e-04,1.29569662e-01,9.91569747e-01];[[4.43036432, 0.04445118], [2.19464368, 4.22206516], [2.94272356, -1.6523294], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[387.2241666914517], [165.87950744197823], [185.8430956616395], [0], [0], [0], [0], [0], [0], [0]];[4.43036432,0.04445118]
[4.22132277,0.17850669];[-8.42841191e-04,-1.96505739e-04,-2.63179561e-01,9.64746486e-01];[[3.24841139, -2.03899257], [8.45000013, 0.80000028], [2.35000004, 3.85000032], [5.01946211, 5.29134464], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.3505804956012], [14.650416089480444], [14.441458731358665], [11.297485211369958], [0], [0], [0], [0], [0], [0]];[3.24841139,-2.03899257]
[3.35522034,-1.81455351];[0.0021415,-0.00161647,-0.84328465,0.53746055];[[1.89245079, 3.60003682], [7.12988997, -3.10754693], [8.40000013, 1.19999993], [5.00000008, -2.70000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.356602286373906], [71.71080096455903], [168.92365995742338], [33.680981436447965], [0], [0], [0], [0], [0], [0]];[8.40000013,1.19999993]
[8.35613787,1.134009];[-2.23936213e-03,7.42481301e-04,3.83939376e-01,9.23355288e-01];[[1.8998552, 4.00530708], [1.14257085, 1.74948498], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.253787916831971], [15.25378791683199], [0], [0], [0], [0], [0], [0], [0], [0]];[1.14257085,1.74948498]
[1.38813324,1.74580287];[-4.63626444e-04,1.48437450e-03,9.99993891e-01,-3.12989068e-03];[[3.42928167, 5.34180075], [-0.33333331, -3.13333318], [-1.73333333, -0.89999982], [-1.20000002, 5.30000028], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.577311448803886], [22.607609048213916], [31.44888242317249], [10.601005200092112], [0], [0], [0], [0], [0], [0]];[-1.73333333,-0.89999982]
[-1.54855478,-0.73945374];[1.20685080e-03,9.08989389e-04,9.38926978e-01,-3.44113139e-01];[[-0.53619552, -3.76747055], [-3.85082047, -0.4939031], [-2.34592009, -1.50931609], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2532287244822147], [1.3026904941350077], [2.7731904327848262], [0], [0], [0], [0], [0], [0], [0]];[-2.34592009,-1.50931609]
[-2.16070006,-1.34810785];[0.00158466,0.0021972,0.93244058,-0.36131319];[[-4.17209211, -0.44440847], [-1.1, -3.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2993113001439878], [1.30065574905953], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.1,-3.79999986]
[-1.21038181,-3.57109064];[-0.00510623,-0.00309278,-0.53895742,0.84231186];[[-3.35000004, -4.14999986], [-0.7, -3.69999986], [-3.90000005, -0.1999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2313218865083508], [1.2864433359353138], [1.2397237669273322], [0], [0], [0], [0], [0], [0], [0]];[-0.7,-3.69999986]
[-0.93273378,-3.61614888];[-5.08747560e-03,7.71265646e-04,-2.04091202e-01,9.78938356e-01];[[-0.85428513, 5.25036959], [-3.35000004, -4.14999986], [-3.49904761, 0.00484954], [-2.37751555, -1.51818955], [-5.40568638, -0.70125198], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.285181206496462], [1.2091405664535066], [1.218579342543056], [1.2619609276200034], [1.2166153437948484], [0], [0], [0], [0], [0]];[-0.85428513,5.25036959]
[-0.86378573,5.00000627];[1.56462964e-04,5.67190499e-03,6.89245030e-01,7.24506102e-01];[[-0.9503148, -4.32016461], [-3.35000013, -4.14999986], [-3.70000014, 2.30000023], [-4.00000014, -0.29999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.440875245691874], [0.9798735508124816], [0.0], [1.0145737506516077], [0], [0], [0], [0], [0], [0]];[-0.9503148,-4.32016461]
