[0.17740477,0.23061364];[-1.27835942e-04,6.37824518e-04,3.00384519e-01,9.53817968e-01];[[3.20000005, 1.10000001], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.901386909598651], [10.622038131667425], [0], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000002]
[1.41343647,1.51395982];[5.27094238e-04,-1.47853132e-03,3.94199207e-01,9.19023671e-01];[[3.07386271, -0.65117464], [0.4924257, 2.27426082], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.82078724365561], [19.823814709958338], [0], [0], [0], [0], [0], [0], [0], [0]];[0.4924257,2.27426082]
[0.67344636,2.09746617];[-8.99639411e-04,-4.93218329e-04,9.19733761e-01,3.92541411e-01];[[3.41713048, 0.11918634], [2.75959015, -1.59860229], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.889552767882272], [10.798482944993514], [0], [0], [0], [0], [0], [0], [0], [0]];[3.41713048,0.11918634]
[3.21367735,0.25642695];[3.47360134e-04,-1.08262143e-03,-2.80565516e-01,9.59834202e-01];[[3.90487892, -0.98414656], [0.60271198, -0.63692635], [8.80000012, 0.90000031], [3.04279995, -4.61315536], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.746536471089385], [1440.9544141028284], [51.99927392012909], [57.012393238878516], [0], [0], [0], [0], [0], [0]];[0.60271198,-0.63692635]
[0.84040521,-0.554036];[-2.01788597e-03,3.21722897e-04,9.85724848e-01,-1.68351840e-01];[[0.4, -4.29999987], [8.70000013, 1.60000022], [4.80000007, -2.19999983], [-0.20982574, 0.83741617], [-0.21169855, 3.69488549], [-1.30000002, -1.29999982], [-1.40000002, -4.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.72999009084286], [11.914022856443088], [12.729990090842865], [13.651714589759106], [12.72999009084286], [57.350102654711854], [12.72999009084286], [0], [0], [0]];[-1.30000002,-1.29999982]
[-1.74791777,-1.37117048];[-0.0015753,0.00150275,0.97500736,-0.22216191];[[-2.43071987, -0.59363181], [-1.25000012, -3.94999986], [4.79999997, -2.19999983], [0.69999991, -4.29999987], [-0.60000011, 2.30000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.265026699755126], [13.825793077885864], [12.34566563055391], [13.04843030450381], [13.048430304503805], [0], [0], [0], [0], [0]];[-2.43071987,-0.59363181]
[-2.25381446,-0.79005769];[-0.00198337,0.00229244,0.91092334,0.41256453];[[-3.07021581, 0.10249453], [4.60839042, -2.51040138], [-0.40487392, 3.00092759], [-1.24999973, -3.94999986], [8.70000042, 1.60000022], [0.7000003, -4.29999987], [-1.89999974, -1.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.92327324335321], [43.01452185549312], [13.154820027277081], [13.154820027277081], [80.61400919732897], [13.154820027277081], [35.748787541067124], [0], [0], [0]];[8.70000042,1.60000022]
[8.74001335,1.63179373];[6.61183834e-04,2.05848017e-03,-1.24097762e-02,9.99920656e-01];[[-1.3000001, -4.29999987], [6.99819422, -1.90963697], [6.20000001, -5.19999988], [4.79999999, -2.19999983], [0.69999993, -4.29999987], [-1.8000001, 4.90000027], [-2.00000011, -1.69999983], [-3.50000013, -4.39999987], [-4.30000014, 1.98185444e-07], [0.0, 0.0]];[[21.87401547847445], [24.817296617398334], [23.767652409522306], [24.817296617398313], [22.788593989528533], [22.788593989528543], [77.98653870389568], [47.82206727903249], [26.760793769439843], [0]];[-2.00000011,-1.69999983]
[-2.14184603,-1.70234897];[8.80203066e-04,2.57769832e-03,9.73690402e-01,-2.27858676e-01];[[-3.34999955, -4.07499986], [0.25000051, -4.24999987], [5.00000058, -2.39999984], [-1.79999952, 4.90000027], [-4.29999956, 1.98185444e-07], [-6.28077316, 3.11021948], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.21039277090762], [42.90963805207211], [63.82565104219604], [31.25239668915308], [33.21039277090766], [30.340925077261353], [0], [0], [0], [0]];[5.00000058,-2.39999984]
[5.03542457,-2.37576531];[-0.0032936,0.00157986,-0.16919654,0.98557556];[[0.70566339, -4.60332206], [-5.56666625, -3.13333317], [-6.12672305, 3.05804753], [5.30000058, -6.69999989], [-1.79999952, 4.90000028], [-4.29999956, 2.05636025e-07], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[114.68493882366704], [196.3971152104779], [246.49094811159046], [97.1551372033087], [160.7638677010601], [330.4890848533661], [0], [0], [0], [0]];[-4.29999956e+00,2.05636025e-07]
