[0.16044099,0.21126988];[-9.57465442e-08,4.13822775e-04,2.81929013e-01,9.59435180e-01];[[3.30000005, 1.25000002], [3.40000005, 3.80000005], [1.60000002, 2.90000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.73498208217024], [9.925313501226702], [9.769329710567737], [0], [0], [0], [0], [0], [0], [0]];[3.40000005,3.80000005]
[3.37078509,3.84216852];[1.32234564e-03,-4.82729802e-04,3.19646421e-01,9.47535848e-01];[[2.92682025, -0.06672651], [0.39397468, 2.83135509], [4.30059528, -1.61690915], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.2855456616062035], [6.2855456616062035], [6.2855456616062035], [0], [0], [0], [0], [0], [0], [0]];[2.92682025,-0.06672651]
[2.95527836,0.18551645];[0.00367744,0.00095816,-0.74343103,0.66880182];[[4.39284021, -1.46287205], [0.30000005, 2.60000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.02437282213647], [48.9027799284544], [0], [0], [0], [0], [0], [0], [0], [0]];[4.39284021,-1.46287205]
[4.2242006,-1.25876002];[5.03938567e-03,8.96320366e-04,-4.22058090e-01,9.06554335e-01];[[0.56059599, 3.55541239], [7.44473211, -3.92613528], [6.00000011, 1.39999994], [5.1000001, -0.50000008], [-0.69999999, -3.90000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[59.34076793376092], [77.69392917989316], [0.0], [66.56579373820982], [62.76374407773961], [0], [0], [0], [0], [0]];[7.44473211,-3.92613528]
[7.24166588,-3.76392418];[0.00481542,0.00295892,-0.32913673,0.94426536];[[4.80100021, -0.29334312], [6.00000011, 1.40000032], [0.30000002, 2.60000034], [-0.59999999, -3.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.79835964235471], [0.0], [13.377340346616679], [14.056320362074493], [0], [0], [0], [0], [0], [0]];[4.80100021,-0.29334312]
[4.9273293,-0.48786831];[0.00309236,-0.00280507,0.88057217,0.4738937];[[8.4000002, 2.90000035], [7.91131258, -0.09839758], [0.10000008, 2.40000034], [-0.59999993, -3.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.870232059516724], [17.036723931577004], [16.39931028090498], [19.011829489777153], [0], [0], [0], [0], [0], [0]];[8.4000002,2.90000035]
[8.39351204,2.84679225];[0.00654079,-0.00148093,0.49060146,0.87135827];[[-0.45256682, -4.40883219], [0.20000004, 2.60000034], [-0.31177408, -0.20902544], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.306123465352968], [16.59022137079219], [37.69827468655393], [0], [0], [0], [0], [0], [0], [0]];[-0.31177408,-0.20902544]
[-0.0920743,-0.12814751];[0.0019169,-0.00923727,0.98464228,-0.17432893];[[-2.24999998, -2.59999974], [-0.79999996, 2.80000034], [-0.99999997, -4.49999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.25525784606527], [19.229220039835734], [19.229220039835734], [0], [0], [0], [0], [0], [0], [0]];[-2.24999998,-2.59999974]
[-2.14338479,-2.42112598];[2.15399854e-04,8.90922887e-03,-8.53388387e-01,5.21199424e-01];[[-3.84999985, 0.80000031], [-0.79999981, 2.80000034], [-0.79999981, -4.29999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.17540281876289], [22.123031974459764], [20.664890482215416], [0], [0], [0], [0], [0], [0], [0]];[-0.79999981,2.80000034]
[-0.86325964,2.5532788];[0.01119721,-0.00206237,0.6046942,0.79637635];[[-5.10000033, -2.77499974], [-3.70000031, 0.75000031], [1.07803822, 5.61804295], [-0.90000027, -4.29999976], [-5.42384672, -0.39731437], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-5.10000033,-2.77499974]
[-4.97193799,-2.67491478];[-7.38883031e-05,-1.37082982e-02,9.47357936e-01,-3.19882806e-01];[[-3.8921814, 1.08506164], [-6.39797594, -2.44817103], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.708861005239576], [5.841811955015153], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.39797594,-2.44817103]
[-6.15811796,-2.48206822];[0.00576926,-0.01165152,0.99734701,0.07162338];[[-3.93680081, 1.57941019], [-4.49999953, 3.02493572e-07], [-8.39999959, -0.4999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.2140905366681904], [6.276191401195875], [5.677146947179492], [0], [0], [0], [0], [0], [0], [0]];[-4.49999953e+00,3.02493572e-07]
