[0.17107845,0.22673477];[-4.09798650e-04,4.98491480e-04,3.01889575e-01,9.53342679e-01];[[3.20000005, 1.10000001], [2.10000003, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.183223327549255], [10.049283562045783], [0], [0], [0], [0], [0], [0], [0], [0]];[3.20000005,1.10000001]
[2.96991356,1.02855605];[-8.00621653e-04,-1.64804063e-03,1.58247759e-01,9.87397738e-01];[[4.53887781, -0.05847163], [3.50000005, -1.40000002], [1.20000002, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1031.377944199466], [291.14955296189146], [290.61741118998], [0], [0], [0], [0], [0], [0], [0]];[4.53887781,-0.05847163]
[4.33269705,0.07012663];[5.77289662e-04,-2.09123916e-03,-2.83148919e-01,9.59073500e-01];[[3.97850618, -1.85142776], [2.02864295, 4.4574008], [8.40000013, 1.6000003], [1.20000002, 2.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[122.01742321789891], [109.20296878444144], [108.54764050645709], [109.16009793989632], [0], [0], [0], [0], [0], [0]];[3.97850618,-1.85142776]
[4.01933354,-1.59923648];[0.00126874,-0.00253208,-0.75128104,0.65997633];[[3.84453747, -1.88865785], [6.06236015, -2.80970913], [1.94035687, -2.85111081], [8.80000013, 1.60000033], [5.70000009, -6.49999979], [1.20000002, 2.80000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[136.34667555341548], [618.4917383965227], [136.4746022669396], [792.0154014299761], [108.61012692912178], [124.80928047966836], [0], [0], [0], [0]];[8.80000013,1.60000033]
[8.67531493,1.47239316];[-0.00107698,-0.00182161,0.4060307,0.91385699];[[1.99929388, 4.47987493], [0.24493428, 0.48589836], [0.89426208, 2.13659167], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.1846694075333719], [0.9960351464830964], [0.9142687326539325], [0], [0], [0], [0], [0], [0], [0]];[0.24493428,0.48589836]
[0.48845193,0.54172908];[-0.00138933,-0.00100999,0.99238807,-0.12313797];[[-2.2273214, -0.4118723], [-1.59999977, -2.15000004], [-0.09999974, 3.20000004], [-0.39999975, -4.20000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[214.59510906295768], [134.39828752922048], [140.59101747286542], [131.0326134427491], [0], [0], [0], [0], [0], [0]];[-2.2273214,-0.4118723]
[-1.99064489,-0.3259502];[4.99964240e-04,-2.43087919e-04,9.87114115e-01,-1.60016928e-01];[[-0.33469336, -4.4046017], [-0.09999983, 3.20000004], [-1.49999985, -2.90000005], [-2.69999986, -0.30000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.801700230470267], [20.304315502409125], [37.35196375894187], [20.97161462195003], [0], [0], [0], [0], [0], [0]];[-1.49999985,-2.90000005]
[-1.5538372,-2.65116627];[-0.00432854,-0.00583822,-0.61836651,0.78585626];[[-0.97413856, -4.20007179], [-4.39064353, 0.43582712], [-2.90000012, -3.60000006], [-0.10000008, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.312739317048024], [24.49688118015332], [20.682594339269855], [19.369879260344494], [0], [0], [0], [0], [0], [0]];[-4.39064353,0.43582712]
[-4.22975096,0.26225089];[1.16114585e-03,1.14549320e-04,9.26314108e-01,3.76750328e-01];[[-7.1487308, 0.76084581], [-0.36400276, 3.48739926], [-3.29999962, -4.90000008], [-3.39999962, -3.20000005], [-5.69999966, -2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [19.79739154365164], [19.79739154365162], [23.88705300117227], [19.79739154365164], [0], [0], [0], [0], [0]];[-3.39999962,-3.20000005]
[-3.40688398,-3.38540604];[-0.00241509,-0.00128098,-0.53123278,0.84722149];[[-0.54232175, 3.65259659], [-6.89999954, 2.00000003], [-6.99999954, -3.00000005], [-8.29999956, -2.00000003], [-8.59999956, -4.60000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.09038432423472], [32.54304171159142], [22.248707561626507], [22.076701047881247], [18.903928141080513], [0], [0], [0], [0], [0]];[-0.54232175,3.65259659]
[-0.64530371,3.42562398];[6.27388177e-04,6.17644020e-04,5.35931380e-01,8.44261090e-01];[[-6.89999954, 2.00000003], [-6.99999954, -3.00000005], [-8.29999956, -2.00000003], [-8.59999956, -4.60000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.60081969398036], [20.841740133381716], [33.85661677013057], [40.09841043313788], [0], [0], [0], [0], [0], [0]];[-8.59999956,-4.60000007]
