[0.17114521,0.22706553];[-3.42488968e-04,2.97793277e-04,2.97221231e-01,9.54808531e-01];[[1.13434598, 1.50165059], [3.40000005, 1.10000001], [2.50000004, -1.10000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.87783038934919], [12.058166471087073], [12.660106003821014], [0], [0], [0], [0], [0], [0], [0]];[1.13434598,1.50165059]
[0.97470961,1.29274596];[-3.32141031e-04,2.61912821e-05,4.33531721e-01,9.01138244e-01];[[4.25446252, 1.80043998], [1.50985493, 2.03649548], [0.59180528, -0.50326002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.80311609725971], [46.89542404364346], [47.47378790994429], [0], [0], [0], [0], [0], [0], [0]];[0.59180528,-0.50326002]
[0.61598121,-0.25775867];[1.85521921e-04,-3.69554771e-04,-7.28880806e-01,6.84640482e-01];[[3.87942831, 4.25621112], [3.80490482, 0.2007638], [0.04884105, 1.57974298], [-0.20000001, -3.74999987], [3.70000004, -1.39999984], [0.7, 5.00000026], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.1345801318248898], [0.13383652831664616], [0.14969863662322605], [0.13368588987582705], [0.13467585474561397], [0.13360739001663968], [0], [0], [0], [0]];[0.04884105,1.57974298]
[0.14937108,1.35999748];[-2.94379741e-03,-1.05061715e-04,8.47491858e-01,5.30800215e-01];[[4.20891671, -3.02264722], [-0.53333346, -4.36666645], [4.91246605, 2.42148566], [-2.60205727, 0.1171513], [4.0031271, 0.26891157], [3.29999993, 3.90000034], [1.89999991, -3.99999978], [0.6999999, 5.00000035], [-2.00000014, -1.99999975], [0.0, 0.0]];[[5.137568102142894], [5.1375681021428905], [5.523155212692439], [36.40340295113526], [5.523155212692439], [5.523155212692436], [5.137568102142887], [5.523155212692436], [181.34482071265043], [0]];[-2.00000014,-1.99999975]
[-1.88656836,-1.78120277];[-1.32797615e-04,-1.46061617e-03,-8.54818581e-01,5.18924919e-01];[[-0.81221527, -3.88348906], [3.79448059, 4.15273822], [2.00000023, -4.04999978], [-2.44070995, -2.01516056], [-3.35059001, -0.31889898], [3.70000025, -1.99999975], [0.70000021, 5.00000035], [-0.29999981, 2.80000032], [0.0, 0.0], [0.0, 0.0]];[[8.58817179330169], [54.02351138315565], [7.984041140276501], [8.588171793301687], [8.58817179330169], [116.9353343216937], [7.45829314549009], [7.984041140276499], [0], [0]];[3.70000025,-1.99999975]
[2.00157359,-1.15329044];[1.44311142e-04,-4.87244842e-03,-2.12791101e-01,9.77085561e-01];[[-4.46815044, -0.62712946], [5.46865273, 0.15101125], [1.34999994, -4.19999978], [4.99999999, 1.90000031], [3.99999997, -2.19999975], [-2.40431523, -2.16290784], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.33642767085705], [10.36437047514269], [10.36437047514269], [10.36437047514269], [10.837110786746228], [18.85941756392033], [0], [0], [0], [0]];[-4.46815044,-0.62712946]
[-4.23153849,-0.62824906];[-0.00262992,0.00166559,0.99969578,-0.02446787];[[-4.10000032, 0.15000028], [-6.45000035, 1.5000003], [6.89999985, 1.1000003], [5.31514692, -4.08248568], [4.99999982, 1.90000031], [4.39999981, -2.59999976], [3.5999998, 4.20000034], [0.89999976, -4.29999978], [-4.50000032, -3.79999978], [-4.60000032, 2.40000032]];[[346.5304274595593], [277.77487943016894], [647.4234539817801], [659.4878139934946], [402.471448851694], [311.6660316794908], [312.45197500923973], [270.7301675135223], [333.3506323899133], [278.6950831024362]];[5.31514692,-4.08248568]
[5.2286065,-4.00595417];[-3.54054406e-04,-1.29794671e-03,-2.86126109e-01,9.58191025e-01];[[4.99999983, 1.89999993], [3.49999981, 4.49999997], [0.89999977, -4.30000016], [-0.20000024, 4.49999997], [-4.60000031, 2.49999994], [-5.30000032, 0.1999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [426.6333250694039], [0.0], [0], [0], [0], [0]];[-4.60000031,2.49999994]
[-4.48263519,2.37467635];[-0.00239736,-0.00147314,0.91650482,0.40001372];[[1.04932513, -4.12989381], [-7.05000035, 2.00000031], [8.39999988, 1.5000003], [0.49999977, 5.30000036], [-2.90000028, -2.59999976], [-7.70000036, 0.60000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[1.04932513,-4.12989381]
[1.06083966,-4.18330503];[3.94182274e-04,-3.04422127e-03,-3.08813140e-01,9.51117778e-01];[[8.30000046, 1.30000002], [-5.09999974, -5.20000008], [-7.49999978, 0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[8.30000046,1.30000002]
[8.23881729,1.20273968];[-0.00283977,-0.00219681,0.42187946,0.90664482];[[-5.05090991, 0.15338888], [0.50000034, 5.30000008], [-5.09999974, -5.20000008], [-7.49999978, 0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[-5.05090991,0.15338888]
[-4.83924506,0.1333727];[-4.75954508e-04,3.69215834e-04,9.98504870e-01,5.46595972e-02];[[-7.92499998, 0.075], [-4.89999993, -5.00000008], [-9.09999999, 2.10000003], [-2.61083484, -2.052459], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[-7.92499998,0.075]
[-7.67152388,0.08110006];[1.26358698e-03,2.29009882e-04,9.99996267e-01,-2.41414718e-03];[[-4.89999954, -5.00000008], [-7.59999958, -2.60000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.89999954,-5.00000008]
[-5.03136695,-4.83623654];[-5.41826084e-03,-8.19451935e-05,-4.19690827e-01,9.07650950e-01];[[7.20672607, 3.50036359], [-0.99814826, 5.03103733], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[7.20672607,3.50036359]
