[0.17160483,0.22551214];[-1.40880284e-04,7.66540829e-04,2.99159428e-01,9.54202832e-01];[[3.20000005, 0.90000001], [2.60000004, -1.50000003], [1.60000002, 2.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[81.71578812377525], [80.35185470520675], [83.66559970326486], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,2.00000003]
[1.44472155,1.81968389];[1.14886001e-03,5.91445951e-04,4.27868901e-01,9.03839886e-01];[[3.31839184, 0.3411732], [1.32632173, 3.36893756], [4.30223131, -1.53085351], [3.20000005, 4.50000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.366883687773083], [29.078339816102776], [27.28382904041009], [26.79044766313409], [0], [0], [0], [0], [0], [0]];[3.31839184,0.3411732]
[3.11831383,0.49763293];[-5.61704915e-04,5.10302560e-04,-3.20878409e-01,9.47120097e-01];[[4.1089871, -1.45382118], [6.10000009, -0.99999973], [1.60000002, -2.89999976], [0.40000001, 2.50000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.408460746208982], [3.9690580480344355], [110.72004848151336], [3.9830739596542206], [0], [0], [0], [0], [0], [0]];[1.60000002,-2.89999976]
[1.67065369,-2.83413416];[0.00125717,0.00119082,0.8975748,-0.4408588];[[-0.15656609, 0.05078764], [5.55110359, -4.27874062], [8.60000012, 0.75000001], [4.40414074, -1.79061759], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.784325416546077], [1.1614410230462782], [1.0665015774483786], [1.2597651454606684], [0], [0], [0], [0], [0], [0]];[-0.15656609,0.05078764]
[-0.1974127,0.19667538];[1.83093281e-03,7.88481162e-04,9.17047030e-01,3.98774093e-01];[[-1.50286886, -3.88801019], [-1.85000002, -0.75000001], [5.00000008, -2.40000004], [-0.6, 3.50000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[55.09786895866717], [126.66237830922088], [42.606593209926146], [42.49891378667304], [0], [0], [0], [0], [0], [0]];[-1.85000002,-0.75000001]
[-1.62370414,-0.62108963];[1.41774487e-03,-4.97339240e-04,9.67928731e-01,-2.51220455e-01];[[-2.77577384, -0.2363129], [4.99999999, -2.40000004], [-0.50000009, 4.20000006], [-1.80000011, -3.90000006], [-5.00000016, -0.30000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[44.519064155742626], [40.75982571400897], [42.468947371177656], [42.43003502362655], [42.46524165717042], [0], [0], [0], [0], [0]];[-2.77577384,-0.2363129]
[-2.5389094,-0.30349408];[0.0052156,0.00186019,0.98444176,0.17562391];[[-2.40988064, -2.31648374], [-2.61176264, 0.45824429], [4.99999982, -2.40000004], [-0.50000026, 4.20000006], [-1.80000028, -3.90000006], [-4.10000032, -2.98023206e-09], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[44.44850681004923], [85.59181768374508], [164.5126525854092], [42.44284314848651], [42.40459194690939], [44.43876273549169], [0], [0], [0], [0]];[4.99999982,-2.40000004]
[4.76793985,-2.31362564];[-6.15560296e-04,1.83002266e-03,-1.97782497e-01,9.80244029e-01];[[-4.3889671, 0.79545689], [6.10000011, -3.09999976], [-1.70805871, -4.28147409], [-0.49999999, 4.20000035], [-2.40347004, -2.33743072], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.193410569406695], [18.355515570879753], [8.902634124439244], [9.133574966363534], [7.489091822990282], [0], [0], [0], [0], [0]];[6.10000011,-3.09999976]
[5.89211475,-2.96748483];[-3.61423944e-04,2.16464464e-03,-2.57997537e-01,9.66143077e-01];[[-0.65161523, 4.75224307], [-4.05000004, 0.8500003], [8.40000014, 1.20000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.495771868132615], [16.094807430085602], [16.184671808663175], [0], [0], [0], [0], [0], [0], [0]];[8.40000014,1.20000031]
[8.28011472,0.98992468];[1.09238732e-03,2.89492976e-04,4.93598275e-01,8.69689297e-01];[[-4.13906262, 0.6054856], [-0.49070244, 4.62398365], [-2.40421963, -2.33626962], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.09130917598456], [8.205339265102035], [7.947545368361755], [0], [0], [0], [0], [0], [0], [0]];[-4.13906262,0.6054856]
