[0.1689052,0.22472079];[-1.47265623e-04,5.77660678e-04,2.98419149e-01,9.54434730e-01];[[3.30000005, 0.70000001], [1.70000003, 2.90000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.200024746839189], [8.250464800138237], [0], [0], [0], [0], [0], [0], [0], [0]];[1.70000003,2.90000004]
[1.56899028,2.68126643];[0.0010915,0.00160981,0.49275231,0.87016743];[[3.23096535, -0.91710201], [4.70881367, 2.03992677], [1.30000002, 5.20000007], [0.95496368, -0.81132853], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[90.22241587843189], [92.19270067497766], [98.49328082844053], [13246.469527849906], [0], [0], [0], [0], [0], [0]];[0.95496368,-0.81132853]
[0.9850279,-0.57488325];[3.26631679e-04,-2.46205842e-03,-7.58369194e-01,6.51820518e-01];[[3.66499326, -2.27924507], [-0.70128791, -0.39004418], [5.40864849, -0.21967015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.580700573434854], [176.60236060243352], [10.581847580384828], [0], [0], [0], [0], [0], [0], [0]];[-0.70128791,-0.39004418]
[-0.46026824,-0.41883386];[-0.00313587,0.00342779,0.99772004,0.06732865];[[-1.10098026, 0.10320686], [-1.16482856, -3.50158646], [3.894081, -2.70017168], [1.40000003, -3.89999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[86.38357217184824], [10.235367406390875], [10.169493078150694], [30.012231294101362], [0], [0], [0], [0], [0], [0]];[-1.10098026,0.10320686]
[-0.8990013,-0.04928726];[-0.00354337,0.00266912,0.95031642,0.31125396];[[-0.50422939, 1.4215748], [3.90731972, -2.56187599], [-1.14482271, -3.75550345], [5.36959362, -0.20060031], [2.00000012, -4.00000017], [-2.09999994, -1.60000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.09372282815868], [10.310162651427433], [17.553172294876468], [75.47066873719761], [9.660486418707663], [11.085404171677139], [0], [0], [0], [0]];[5.36959362,-0.20060031]
[5.10825925,-0.19429362];[-1.06208518e-03,4.55469080e-04,1.00233675e-03,9.99998823e-01];[[4.09008086, -3.15719665], [-2.55884087, -3.22248352], [-2.95364745, -0.86361764], [8.60000031, 2.40000003], [2.00000021, -4.00000007], [-0.69999983, -3.90000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[109.89798316031016], [372.9349185443252], [103.1979167904599], [132.54602269164556], [109.49333264517763], [135.2985304700257], [0], [0], [0], [0]];[-2.55884087,-3.22248352]
[-2.4578763,-3.03729152];[6.39780809e-04,3.52290640e-03,9.60931476e-01,-2.76763232e-01];[[-2.38977253, 4.59189534], [3.99359226, -3.05157292], [-0.64999951, -4.05000007], [2.00000053, -4.00000007], [-0.79999951, 4.40000006], [-2.63155293, -4.91285467], [-3.59999955, 0.4], [-3.59999955, -2.80000005], [0.0, 0.0], [0.0, 0.0]];[[27.798343932314822], [27.798343932314786], [36.05115195000491], [28.890260656445644], [43.66884380915966], [30.44319318395808], [28.890260656445633], [30.052251339402403], [0], [0]];[-0.79999951,4.40000006]
[-0.96034453,3.78010686];[-0.01959196,-0.02733601,0.6482821,0.7606571];[[4.02590728, -3.15097628], [-3.00967586, -1.93399209], [2.00000053, -3.99999978], [-0.2999995, -4.29999978], [-4.09999956, 0.60000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.392764238583172], [23.29303658548742], [22.392764238583162], [23.33624910782517], [23.02119018656491], [0], [0], [0], [0], [0]];[-0.2999995,-4.29999978]
[-0.32241287,-4.39505552];[3.93962043e-04,-2.98620535e-03,-5.91754404e-01,8.06112675e-01];[[-4.04999956, 0.8000003], [4.40000057, -3.19999976], [-4.39999956, -3.59999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.925722147601306], [24.53472423321464], [25.16461025842963], [0], [0], [0], [0], [0], [0], [0]];[-4.39999956,-3.59999977]
[-4.52822698,-3.5197061];[-0.00528893,-0.00180619,0.99990699,-0.01244083];[[-4.10000032, 0.8000003], [7.14096451, -3.8198092], [4.39999981, -3.19999976], [-6.00000035, -3.09999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[514.5939603959035], [434.63933243855803], [639.7681132759498], [517.5742352105162], [0], [0], [0], [0], [0], [0]];[4.39999981,-3.19999976]
[4.14019828,-3.21462206];[-0.00176488,-0.00689615,0.04589817,0.99892076];[[-4.10000028, 0.8500003], [-6.64945313, -3.27157106], [-7.9374646, -0.2469909], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.224972010931634], [34.23806310718519], [34.6834802564411], [0], [0], [0], [0], [0], [0], [0]];[-7.9374646,-0.2469909]
