[0.1647921,0.21242882];[-6.50801008e-04,3.22693900e-04,2.91649088e-01,9.56525108e-01];[[3.45000005, 1.35000002], [1.63110853, -1.0547323], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[584.9247368909266], [558.4728841280427], [576.5283703865939], [0], [0], [0]];[3.45000005,1.35000002]
[2.65620552,0.64871508];[-4.36683165e-04,-1.07759349e-03,1.02493867e-01,9.94732963e-01];[[3.64740313, -1.39782582], [1.89704169, 3.63865434], [5.90000009, -1.60000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[91.07298696631413], [82.41204577479726], [82.5665746860474], [0], [0], [0]];[3.64740313,-1.39782582]
[3.5616097,-1.14482549];[-0.00185111,-0.00370757,-0.52144799,0.85327301];[[4.8891899, -1.53026051], [2.00000003, -3.10000015], [1.40000002, 2.79999993], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[397.0529087007343], [1150.6758780472207], [170.49013940844836], [0], [0], [0]];[2.00000003,-3.10000015]
[2.14839991,-2.90875587];[-0.00094751,0.00115139,0.8942341,-0.44759708];[[6.58027985, -1.38530185], [4.77123335, -2.75493504], [5.80000008, -4.49999979], [0.49983505, 0.99559988], [2.33334327, 4.40687323], [1.40000002, 2.80000032]];[[0.0], [171.9570098881741], [158.20050504540626], [2806.141348025993], [146.4370047917806], [158.0205872372175]];[0.49983505,0.99559988]
[0.16398364,0.21485387];[5.18364234e-05,7.99881716e-04,2.87998046e-01,9.57630655e-01];[[0.40759561, 0.03568372], [3.20000005, -1.44999999], [3.05000005, 1.55000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2494.71896244737], [11.704583333920565], [11.611482790489637], [0], [0], [0]];[0.40759561,0.03568372]
[0.16950382,0.21454727];[-8.78941573e-04,3.34087375e-04,2.84866572e-01,9.58566718e-01];[[3.10074966, 0.7834575], [1.69854438, 1.80564021], [2.30000004, -1.40000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.32801876625963], [10.335528186089306], [515.8128761343784], [0], [0], [0]];[2.30000004,-1.40000002]
[0.1521128,0.19820904];[-3.48512180e-04,4.97218622e-04,2.79999607e-01,9.59999930e-01];[[2.30153463, 1.24239303], [2.30000004, -1.30000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.770797444846758], [11.589471748759642], [0], [0], [0], [0]];[2.30153463,1.24239303]
[2.06685046,1.11631757];[-0.00214911,-0.00152975,0.24408236,0.96975092];[[5.0277605, 1.93530819], [3.87091018, -1.41636146], [1.98899019, 4.62079668], [1.10000002, 3.00000004], [0.0, 0.0], [0.0, 0.0]];[[14.243827111242759], [14.233673509256194], [14.240150796752884], [16.052266239830328], [0], [0]];[1.10000002,3.00000004]
[1.21367491,2.77305538];[-3.24703847e-03,2.48442905e-06,8.49735600e-01,5.27199111e-01];[[3.50836052, -1.39562247], [4.83351725, 1.81182848], [1.48480916, 4.77994657], [0.7936711, 2.916716], [0.0, 0.0], [0.0, 0.0]];[[56.20502975545863], [56.30582359397838], [62.41106862983872], [62.53807461133897], [0], [0]];[0.7936711,2.916716]
[0.99324625,2.802728];[-3.24416587e-03,6.45199706e-04,9.58089446e-01,2.86450132e-01];[[0.50211335, 2.02717215], [4.83172672, 1.81462233], [3.75042391, 0.18842125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1378.3787313562339], [56.30582359397838], [105.0836772952077], [0], [0], [0]];[0.50211335,2.02717215]
[0.65133638,2.19042502];[-0.00401787,0.00222544,0.92653255,-0.37618656];[[0.62842273, 2.68981608], [4.89403533, 1.40134248], [4.15833592, -1.74034601], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[60.347263764912285], [54.382636653475814], [55.38300561449796], [0], [0], [0]];[0.62842273,2.68981608]
