[2.35331289,0.45107285];[-6.83814879e-04,-7.83872548e-04,6.94094584e-02,9.97587714e-01];[[3.35194508, -1.36951285], [4.5673229, 1.51575291], [1.2040692, -1.07251465], [1.60000002, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[148.6601437687429], [148.31123624677207], [148.8107788423147], [148.74069485936403], [0], [0], [0], [0], [0], [0]];[1.2040692,-1.07251465]
[1.34216156,-0.86596053];[-0.00092582,0.00363956,0.87216465,-0.48919802];[[4.19901745, -0.66187197], [2.89787276, -3.51579703], [5.11013269, -4.17100382], [1.60000002, 3.10000004], [0.40000001, -3.00000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.845022740388053], [9.845022740388059], [8.930437643851981], [8.930437643851981], [91.08940897489326], [0], [0], [0], [0], [0]];[0.40000001,-3.00000006]
[1.48389732,-3.25687664];[-0.00295985,0.00382316,0.99234522,0.12340014];[[4.3264099, -2.00114466], [0.84729064, 2.08385872], [-1.69999993, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.23856520200119566], [3.453367542758882], [0.2358799866966404], [0], [0], [0], [0], [0], [0], [0]];[0.84729064,2.08385872]
[0.89651347,1.99448775];[-0.00287042,0.00385489,0.82616486,0.56340795];[[4.50000016, -2.19999984], [-1.29999993, -0.69999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.709969573795691], [14.709969573795732], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.29999993,-0.69999982]
[-1.14216543,-0.51037453];[0.00150335,0.00235628,0.90594889,-0.42337785];[[4.68250598, -1.9692323], [-4.25000005, -0.29999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.77898961187852], [2.1837732306013495], [0], [0], [0], [0], [0], [0], [0], [0]];[4.68250598,-1.9692323]
[4.60890992,-1.92141302];[7.85600692e-04,-3.04976919e-04,-2.43563472e-01,9.69884593e-01];[[5.96922092, -3.2563285], [8.75000033, 0.90000002], [-4.20381005, -0.496242], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.854798755772618], [15.397225859547987], [30.119815994931013], [0], [0], [0], [0], [0], [0], [0]];[-4.20381005,-0.496242]
[-3.95981542,-0.50714329];[1.92587647e-03,9.49012888e-04,9.99949290e-01,-9.83885603e-03];[[-4.20296153, 0.10401237], [8.50000049, 0.70000002], [-4.2999997, 2.30000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.02962542459661], [25.988190508130657], [19.909327628244085], [0], [0], [0], [0], [0], [0], [0]];[8.50000049,0.70000002]
[8.59918453,0.68031269];[-1.24914009e-03,4.72211275e-05,1.62535906e-01,9.86701842e-01];[[-4.29999954, 2.30000005], [-5.49999956, 0.40000002], [-6.69999957, 2.20000004], [-8.09999959, -0.6], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.059344469349233], [5.320447557850003], [10.161808188058496], [17.820457785557164], [0], [0], [0], [0], [0], [0]];[-8.09999959,-0.6]
[-7.84383659,-0.59184747];[1.74446397e-03,-3.02287414e-04,9.99581383e-01,-2.88777632e-02];[[-7.74999978, -2.40000002], [-4.09999972, 2.40000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.875065768254466], [0.37072563001887016], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.74999978,-2.40000002]
[-7.78015318,-2.15493583];[-0.00102572,0.00094674,-0.68019911,0.73302608];[[-4.09999972, 2.40000005], [-5.09999974, -3.90000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04378923749320779], [0.15227131525347112], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.09999974,-3.90000005]
