[1.99177544,-1.1919253];[-8.83824345e-04,-8.78967764e-04,-2.53658883e-01,9.67292936e-01];[[1.30219678, -4.36005449], [7.24513117, -0.24719069], [7.69114685, -2.0077765], [4.80000007, -2.20000004], [3.90000006, 0.6], [3.40000005, 4.30000005], [1.20000002, 2.90000003], [0.70000001, -2.80000005], [0.0, 0.0], [0.0, 0.0]];[[34.596445244475525], [31.601855452336313], [31.634609352857524], [396.3815634561437], [38.26149025566878], [31.6562423067612], [34.65071495867935], [419.2367917894757], [0], [0]];[0.70000001,-2.80000005]
[1.23975878,-3.38155393];[1.42648865e-04,8.79196164e-03,7.09444588e-01,7.04706356e-01];[[2.46445931, 4.45785118], [5.50959921, -4.07165742], [4.40814274, -2.51078469], [-0.64999992, -0.90000011], [5.11090708, 2.865834], [4.30000015, 0.79999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.798840155600051], [6.302502864558213], [6.356114470100776], [82.62854857567034], [5.906713449844003], [6.3578151104992475], [0], [0], [0], [0]];[-0.64999992,-0.90000011]
[-0.31018407,-0.54013684];[0.00750702,0.00254787,0.98635246,-0.16445658];[[3.10085272, 4.76409106], [6.69684029, -1.81880569], [4.70000007, -2.50000013], [-0.1, 3.19999996], [-2.10000003, -0.8000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.14676213524472498], [0.14826633703668818], [0.14928748191035568], [0.15513793780273213], [0.6017518023234031], [0], [0], [0], [0], [0]];[-2.10000003,-0.8000001]
[-2.27055189,-0.86775868];[0.00916988,0.0071053,0.99928233,0.03605914];[[-3.24340554, -0.24715373], [2.64206464, 4.41854251], [4.69999999, -2.50000013], [-0.40000008, 3.29999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.37726273563602], [0.0], [32.12672806357883], [8.453691574437403], [0], [0], [0], [0], [0], [0]];[4.69999999,-2.50000013]
[4.68389991,-2.46609753];[-0.00779095,0.00727978,-0.2351579,0.97189869];[[-3.82531363, 1.30230334], [-4.00000014, -4.10000011], [3.90231609, 5.09289503], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.700795039980227], [10.802903067330442], [9.925010861054405], [0], [0], [0], [0], [0], [0], [0]];[-4.00000014,-4.10000011]
[-4.10622389,-4.09222712];[0.00395407,0.008059,0.97900086,-0.20365837];[[-4.26604406, 0.82855898], [-5.64999977, -2.65000013], [3.90349245, 5.08883524], [-4.09999974, -4.70000016], [-7.8999998, -5.00000017], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2463076224556657], [1.2587020743076651], [1.341743867087116], [1.3711252373845708], [0.45720067437615924], [0], [0], [0], [0], [0]];[-4.09999974,-4.70000016]
[-4.07110279,-4.45798083];[-0.00673116,-0.00515206,-0.77770939,0.62856683];[[-4.09999954, 0.74999992], [-3.69999953, -4.60000016], [-7.99999959, -5.10000017], [-8.2999996, -2.30000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.44979414172851473], [3.695390742963975], [0.45082681464054536], [0.4507555297068474], [0], [0], [0], [0], [0], [0]];[-3.69999953,-4.60000016]
[-3.57296135,-4.6107801];[-9.59046049e-03,8.62530703e-04,-2.84139061e-01,9.58734725e-01];[[-4.09999954, 0.74999992], [-1.14129508, 4.90115929], [-8.09999959, -5.20000017], [-8.2999996, -2.30000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.44079718293939757], [0.42620308450262123], [0.4418352449772658], [0.44173179561018844], [0], [0], [0], [0], [0], [0]];[-8.09999959,-5.20000017]
[-7.99154767,-5.14787244];[0.00380629,0.00909175,0.9819088,-0.18909774];[[-4.34627254, 0.90432944], [-8.54999959, -1.15000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[344.1676840530151], [351.2526457657778], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.54999959,-1.15000011]
[-8.50658824,-1.38836465];[-0.00227,0.00822453,0.78016906,0.62551052];[[3.65455997, 4.74435472], [-8.19999959, -0.4000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.820779684880097], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[3.65455997,4.74435472]
