[0.14965782,0.19182498];[-1.86546148e-04,2.32824017e-04,2.71387523e-01,9.62470112e-01];[[3.20000005, 0.80000011], [2.10000003, 2.10000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.114057040722669], [11.829986812497525], [0], [0], [0], [0], [0], [0], [0], [0]];[2.10000003,2.10000013]
[1.92067043,1.92788199];[5.09083912e-04,1.59078823e-04,3.74337142e-01,9.27292520e-01];[[4.30324295, 0.74990275], [0.59923135, 3.0453871], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.081071685114495], [43.2546552799194], [0], [0], [0], [0], [0], [0], [0], [0]];[0.59923135,3.0453871]
[0.7869324,2.87134994];[-1.15168881e-03,-8.95522212e-04,9.25933680e-01,3.77683318e-01];[[4.41011294, 0.61523276], [0.49916051, 0.13777695], [0.19509634, 3.39516306], [5.70000012, 2.40000013], [2.65946484, -1.30522597], [0.0919272, 1.66309452], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[38.96733435084065], [0.0], [42.61343538486275], [38.70295243569641], [559.1958944198549], [668.5448197227538], [0], [0], [0], [0]];[0.0919272,1.66309452]
[0.21050179,1.88691861];[4.12160928e-04,2.16379505e-03,-8.54031996e-01,5.20215817e-01];[[4.28495882, 0.67570093], [0.48219355, -0.34784427], [-0.11573837, 2.03920046], [2.9388566, -1.40402877], [5.70000013, 2.40000013], [0.18577814, 3.96153212], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.31102632122801], [11.142426138633368], [11.21705244965697], [10.32278533438785], [10.287117810981636], [11.219445702044313], [0], [0], [0], [0]];[0.18577814,3.96153212]
[-0.0163791,2.25074532];[0.00191565,-0.00102628,-0.86024383,0.50987828];[[-1.91887832, -0.41312318], [4.60608179, 0.80795717], [2.01552903, -1.3691816], [5.70000013, 2.40000008], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[78.66062032234635], [10.700582719783336], [101.4942093813424], [10.707832429211585], [0], [0], [0], [0], [0], [0]];[2.01552903,-1.3691816]
[1.86195615,-1.13856];[0.00173644,-0.00291105,-0.45091497,0.89256047];[[-1.85940464, -1.28882945], [4.90282098, 1.81899357], [2.19999992, -4.09999988], [-0.25000012, -4.29999988], [4.19999995, -1.09999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5112.01234630477], [303.13325853574], [0.0], [298.14685169523494], [317.2740163144644], [0], [0], [0], [0], [0]];[-1.85940464,-1.28882945]
[-2.13703556,-1.32606646];[-0.00142216,-0.00294047,0.99547116,0.09500788];[[4.36778781, -1.62334064], [-2.31544184, -1.59823299], [5.7, 2.40000032], [4.59999998, 1.3000003], [-3.40000014, -4.09999978], [-4.40000015, -0.09999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.756762563018906], [37.64219694323328], [2.372231942721538], [10.731107812519626], [2.4617811807252177], [2.559257534787103], [0], [0], [0], [0]];[-2.31544184,-1.59823299]
[-2.34624168,-1.70854918];[-0.00329813,-0.0033321,0.92556902,-0.37854987];[[5.7, 2.40000032], [4.59999998, 1.3000003], [4.39999998, -0.79999973], [-2.10000012, -1.79999975], [-3.40000014, 2.90000032], [-3.40000014, -4.09999978], [-4.20000015, 0.10000028], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.0372577307431925], [8.303654055606394], [2.271936906936894], [72.88436699093218], [7.71659589575379], [2.439940626275784], [2.442006658606636], [0], [0], [0]];[-2.10000012,-1.79999975]
[-2.07120717,-1.84064483];[1.71153458e-03,5.21538466e-04,-6.74781588e-02,9.97719145e-01];[[4.34296369, -1.53671945], [-4.12043245, 0.10210085], [5.7000001, 2.40000032], [4.60000009, 1.3000003], [-3.20000003, -4.79999979], [-4.50000005, 1.6000003], [-5.60000006, -3.09999977], [-5.90266514, 0.0056898836], [0.0, 0.0], [0.0, 0.0]];[[5.2316868068070255], [2.2168142044611887], [7.5547778489019], [6.000951190620165], [2.142726701341194], [8.321407268670955], [2.1414249050634897], [5.313465853994096], [0], [0]];[-4.50000005,1.6000003]
[-4.36023581,1.39039813];[0.00127085,0.00283824,0.88352858,0.46836694];[[4.37174852, 0.27060144], [4.40610624, -1.31066305], [-5.92884714, -3.55596869], [-7.39999959, 1.4000003], [5.7000006, 2.40000032], [-4.09999954, 0.10000028], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.606582942568725], [12.905174094266146], [2.2766652952998263], [1.91543471817988], [4.179284259168129], [5.536286405948169], [0], [0], [0], [0]];[4.40610624,-1.31066305]
