[1.82005792,1.92569486];[-2.15946023e-04,1.40936448e-03,3.77387246e-01,9.26054443e-01];[[4.01347567, 1.99148199], [3.58737672, 4.40080125], [2.53551368, -1.63546643], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.266954949138615], [21.936519980603506], [21.53673107670159], [0], [0], [0], [0], [0], [0], [0]];[4.01347567,1.99148199]
[3.75946548,1.97144627];[-1.70754926e-03,7.87953377e-04,3.99123989e-02,9.99201411e-01];[[3.35096679, -1.88033182], [7.00000011, 2.50000003], [0.50000001, 3.00000004], [0.32284868, -0.40255857], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.31814846499589], [52.38599747642582], [52.604146889161136], [3091.1210455316636], [0], [0], [0], [0], [0], [0]];[0.32284868,-0.40255857]
[0.53762559,-0.25185773];[1.35870537e-03,6.81268665e-04,9.51936716e-01,-3.06291002e-01];[[4.10537322, -1.89992974], [0.29427905, 2.53811551], [8.10000021, 1.19999991], [-1.69999994, -0.10000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[35.233378607965925], [38.07756472001136], [32.50021355375062], [38.01140382131049], [0], [0], [0], [0], [0], [0]];[0.29427905,2.53811551]
[0.32457748,2.28988358];[5.10947914e-04,3.28568586e-03,7.45218759e-01,6.66811778e-01];[[-0.33333333, -4.00000013], [-1.86666669, -2.13333344], [8.10000013, 1.19999996], [6.18247223, -1.80836082], [4.00000006, -2.30000009], [-2.55000003, -0.40000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.072905328476494], [118.14797583958297], [30.80596552864722], [30.982396718017213], [33.00365947587769], [33.05564405005094], [0], [0], [0], [0]];[-1.86666669,-2.13333344]
[-1.77609665,-1.90909727];[-6.06475441e-04,6.91292165e-04,-8.24887635e-01,5.65295973e-01];[[8.10000041, 1.20000001], [4.00000035, -2.30000004], [-0.69999972, -4.30000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.9702052027143395], [105.26659407096794], [11.89390076572345], [0], [0], [0], [0], [0], [0], [0]];[4.00000035,-2.30000004]
[4.00019317,-2.26744173];[-6.34870498e-04,-2.75975133e-03,-1.53487559e-01,9.88146528e-01];[[5.4333337, -3.19999986], [8.20000041, 1.35000021], [3.00844714, -4.90206779], [0.6000003, -3.99999987], [-3.09999976, -0.29999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[54.82163106531105], [52.90732017310436], [54.85952489941624], [52.95201392926652], [203.18824248097008], [0], [0], [0], [0], [0]];[-3.09999976,-0.29999981]
[-2.86811066,-0.33109842];[4.23102948e-05,1.85422895e-03,9.99028494e-01,4.40300366e-02];[[8.40000004, 1.20000021], [2.59999995, -4.39999987], [0.59999992, -3.99999987], [-4.20000015, 0.10000019], [-4.60000015, 2.50000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.45218616234205], [46.69975466632011], [47.771537638642705], [49.11907107127645], [62.4002756942591], [0], [0], [0], [0], [0]];[-4.60000015,2.50000023]
[-4.46803331,2.28950404];[-1.64174018e-04,-2.96408071e-03,8.73258766e-01,4.87247688e-01];[[-4.5943802, 0.23391134], [0.29758214, -4.41355222], [-8.05000036, 2.30000023], [9.20266724, -4.90231514], [8.39999988, 1.20000021], [2.5999998, -4.39999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[71.07176064192717], [46.05697617950785], [47.40238075750702], [111.49184113548668], [90.8430367984202], [45.213887359311954], [0], [0], [0], [0]];[9.20266724,-4.90231514]
[-8.17586934,-4.7104299];[-0.00493259,-0.00533356,0.87341234,-0.48692721];[[8.74815632, 2.47436084], [-4.60155268, -4.60465725], [-4.3000003, 0.2], [-8.00000035, -0.40000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.3879347870561256], [3.3329199484399834], [3.800721971457864], [2.330882528742767], [0], [0], [0], [0], [0], [0]];[-4.3000003,0.2]
[-4.30229434,0.2429738];[0.00979693,-0.01131128,0.32193392,0.94664388];[[-4.39686041, -4.37377808], [8.39999989, 2.40000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.262186388128351], [2.1008385840143196], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.39686041,-4.37377808]
