[0.17301719,0.23285572];[-6.31485236e-04,4.87158268e-04,3.05659887e-01,9.52140432e-01];[[3.20000005, 1.10000001], [2.30000004, -1.30000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.71487636542257], [37.49771908342416], [37.94737782801344], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000002]
[1.43066793,1.52081889];[0.00101499,-0.00242165,0.36879593,0.92950668];[[3.65738199, 1.17380711], [2.71896716, -0.93743437], [0.59739999, 2.18675046], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[110.20032325699368], [108.90490215202793], [110.51976235072729], [0], [0], [0], [0], [0], [0], [0]];[0.59739999,2.18675046]
[0.77642616,1.99999579];[-8.73036489e-05,2.67320415e-04,9.04122231e-01,4.27273822e-01];[[3.14024319, -1.23925648], [0.59962282, 2.7808101], [3.9444346, 1.00664621], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[72.8289618658457], [81.22083882408161], [75.23386917001835], [0], [0], [0], [0], [0], [0], [0]];[0.59962282,2.7808101]
[0.67052939,2.5331445];[-6.94273735e-04,1.15366886e-03,7.92615182e-01,6.09720731e-01];[[4.19275045, -1.6362143], [0.61972472, 2.80095834], [3.80000006, 0.90000001], [2.70000004, -1.10000002], [0.12817052, -0.21144003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[75.28095646277387], [81.03426657948151], [74.18543191170194], [72.87737744223672], [80.212016749512], [0], [0], [0], [0], [0]];[0.61972472,2.80095834]
[0.66986172,2.5324715];[-4.68944792e-04,1.13912050e-03,7.92542145e-01,6.09815897e-01];[[3.86231975, -1.43189492], [2.1508615, -1.35596859], [4.90206099, 2.36773491], [3.80000006, 0.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[73.43863251717455], [73.97840172991101], [76.05054868768005], [74.18543191170187], [0], [0], [0], [0], [0], [0]];[4.90206099,2.36773491]
[5.05235967,2.39940583];[-9.94370469e-04,6.42799445e-04,-1.05739818e-01,9.94393127e-01];[[3.92109621, -1.80893523], [8.60000016, 1.50000002], [-0.11882009, 0.59743553], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.725721343812863], [14.72572134381285], [64.67776247620722], [0], [0], [0], [0], [0], [0], [0]];[-0.11882009,0.59743553]
[0.12039621,0.66616054];[4.57211796e-04,4.47091309e-04,9.92169973e-01,-1.24893296e-01];[[7.40291595, -2.10560497], [-1.96666669, -0.90000004], [8.40000013, 0.39999998], [4.10000007, -2.50000006], [-0.6, 4.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.480055253137905], [16.135930771753767], [14.48005525313793], [15.269106350221623], [15.26910635022159], [0], [0], [0], [0], [0]];[-1.96666669,-0.90000004]
[-1.75455405,-0.74853464];[0.00120062,0.00168799,0.95276045,-0.30371569];[[8.40000042, 0.3999999], [7.38518286, -2.10314083], [4.10000036, -2.50000014], [-0.59999971, 4.09999995], [-1.99999973, -4.70000018], [-3.49999976, -0.30000011], [-5.09999978, -0.40000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.000455176899912], [36.33291567736456], [16.76554378869572], [17.59544654460302], [17.59544654460303], [18.497664993079216], [17.595446544603], [0], [0], [0]];[7.38518286,-2.10314083]
[7.15311955,-2.04040891];[-3.84811480e-04,4.14319650e-03,-1.50932688e-01,9.88535279e-01];[[7.60000032, 4.10000036], [6.90000031, -6.5999998], [3.70000026, -4.29999977], [-0.1999998, -4.19999977], [-0.5999998, 4.10000036], [-3.39999985, -4.09999977], [-4.19999986, -0.09999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.668256003143947], [7.996966761859967], [8.165296785621669], [7.908744584341424], [7.701670192148187], [7.448740388173031], [9.288402543145754], [0], [0], [0]];[-4.19999986,-0.09999971]
[-3.96121785,-0.13323301];[0.00284412,0.00142101,0.99706585,0.07648258];[[0.23931003, -4.17500117], [-3.97048699, 0.16817386], [7.60000033, 4.00000035], [6.90000032, -6.4999998], [-3.39999984, -4.09999977], [-3.59999984, 2.40000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.324887973007385], [30.06637275408725], [77.66379629812533], [42.09792882065701], [29.32488797300741], [30.06637275408721], [0], [0], [0], [0]];[7.60000033,4.00000035]
[-8.48036998,2.61919384];[0.00691985,0.00099807,0.97781166,0.20936922];[[0.10000053, -4.19999977], [-3.49999952, -3.69999976], [-7.39999958, -2.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[0.10000053,-4.19999977]
[-8.30431007,2.48899088];[0.00682136,-0.00108655,0.99849018,-0.05449434];[[0.10000053, -4.19999977], [-7.9721031, -2.75033776], [-3.49999952, -3.69999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.43965257244106], [106.92416195970517], [36.43965257244119], [0], [0], [0], [0], [0], [0], [0]];[-7.9721031,-2.75033776]
[-7.96452611,-2.49585177];[-0.00374417,0.0047389,-0.72392298,0.68985437];[[-4.49091654, -4.33873352], [0.10000053, -4.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[55.3377708175502], [37.31657861809729], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.49091654,-4.33873352]
[-8.75748552,-4.84807866];[0.01452282,-0.0086854,0.99183422,0.12640624];[[7.90000065, 4.10000036], [6.90000064, -6.4999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0939157189444454], [0.15859118290291874], [0], [0], [0], [0], [0], [0], [0], [0]];[6.90000064,-6.4999998]
[-0.48915826,-4.50382898];[0.00852764,0.01514854,-0.36505111,0.93082517];[[7.90000065, 4.10000036], [6.90000064, -6.4999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04986733828284064], [0.07954517047245417], [0], [0], [0], [0], [0], [0], [0], [0]];[6.90000064,-6.4999998]
