[0.16892308,0.22949701];[-4.20288456e-04,5.37765812e-04,3.03088831e-01,9.52962064e-01];[[3.20000005, 0.80000001], [2.80000004, -1.50000003], [2.10000003, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[326.92111556599946], [311.3764928349734], [323.22600628585496], [0], [0], [0], [0], [0], [0], [0]];[3.20000005,0.80000001]
[2.96329587,0.75114105];[-1.38648072e-03,-2.32924495e-04,1.01072237e-01,9.94878102e-01];[[3.83671848, -0.27657533], [1.08768587, 2.44352873], [3.55994976, -2.05013975], [4.10000006, 5.00000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.524508562345217], [8.524508562345217], [8.52450856234522], [7.541762581309584], [0], [0], [0], [0], [0], [0]];[3.55994976,-2.05013975]
[3.49762867,-1.80965542];[-5.41618814e-04,-9.50450112e-04,-6.10731761e-01,7.91836804e-01];[[7.0959452, -2.01488201], [5.28531647, -1.5012747], [4.90000007, -3.09999977], [4.00000006, 4.90000035], [1.30000002, 2.70000032], [0.80000001, -2.89999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.065082217601965], [10.096732952195767], [10.09673295219577], [8.218133378645101], [9.065082217601969], [111.44166273271837], [0], [0], [0], [0]];[0.80000001,-2.89999976]
[1.54610806,-3.2598601];[1.48436611e-04,2.91281613e-03,9.79849563e-01,1.99715630e-01];[[4.95834805, -3.10534513], [2.38751769, 4.47187281], [7.12831497, -2.01291633], [6.50000014, 2.90000033], [4.0000001, 4.90000036], [0.10000004, 1.0000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[50.51505904174138], [47.35547272903453], [50.40896418806075], [47.25653931847018], [47.28751469577369], [253.1001413598208], [0], [0], [0], [0]];[0.10000004,1.0000003]
[0.09828913,1.10673017];[6.89558680e-04,1.45164082e-03,8.72349693e-01,4.88879761e-01];[[4.95000009, -3.09999976], [4.10000008, 5.00000036], [-0.44999999, 4.60000036], [-1.80000001, -0.89999973], [7.43246126, -2.10029411], [6.91196203, 2.59892488], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.66970612245991], [49.55026694529585], [51.63452835549379], [442.31649022891264], [49.5765627196567], [49.54462858205487], [0], [0], [0], [0]];[-1.80000001,-0.89999973]
[-1.62317994,-0.70581756];[2.72172650e-03,7.27052121e-04,9.12210920e-01,-4.09711245e-01];[[4.90000037, -3.09999976], [4.10000036, 5.00000036], [-2.19999974, -1.79999974], [-3.09999975, -0.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[106.65642445534839], [86.45028319866759], [80.02485852667203], [67.82034427777343], [0], [0], [0], [0], [0], [0]];[4.90000037,-3.09999976]
[4.70532497,-2.98910288];[7.94771321e-04,8.28168742e-04,-2.95430797e-01,9.55363459e-01];[[-4.79998212, -0.52835714], [6.10000039, -3.29999976], [4.10000036, 5.00000036], [-2.29999973, -1.79999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[145.3443417618799], [105.22426710931556], [81.56007981319753], [456.66790627800395], [0], [0], [0], [0], [0], [0]];[-2.29999973,-1.79999974]
[-2.43499304,-1.81245881];[6.93310049e-04,-8.25365780e-04,9.83288150e-01,1.82052876e-01];[[4.29976629, 5.20690602], [6.91295004, 2.68459558], [-3.79999975, -0.09999971], [-3.89999976, 1.40000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[4.29976629,5.20690602]
[4.27856096,5.20470065];[-2.51712281e-04,-3.05524478e-03,2.52027298e-01,9.67715272e-01];[[-3.45351354, -0.11838354], [-5.31583977, -0.66699874], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.45351354,-0.11838354]
[-3.74391907,0.05411121];[-9.95105280e-04,1.84808997e-03,9.97398771e-01,7.20505087e-02];[[-5.65873671, 0.00748287], [-4.00000032, 0.10000029], [-7.10000036, 2.50000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-5.65873671,0.00748287]
[-5.39670077,0.69847604];[0.00141324,0.00296576,0.99087293,0.1347592];[[-8.31357916, -2.35844697], [8.71134853, 0.39334655], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.31357916,-2.35844697]
