[0.1657631,0.22058271];[3.12070046e-04,6.32070967e-04,2.93364475e-01,9.56000407e-01];[[2.90000004, 0.80000001], [2.50000004, -1.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.03477850020766], [45.3893368465673], [0], [0], [0], [0], [0], [0], [0], [0]];[2.90000004,0.80000001]
[2.65320898,0.74563129];[-7.04886745e-04,-1.48470611e-03,1.08506773e-01,9.94094353e-01];[[3.58239493, -1.40130817], [1.94268805, 3.70922172], [4.60000007, 1.50000002], [1.09204578, -1.05980277], [0.48992959, 1.10712588], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[58.735480097051074], [53.27049198680588], [59.163024317086716], [59.39912645542696], [1400.8866688751448], [0], [0], [0], [0], [0]];[0.48992959,1.10712588]
[0.72862071,1.04354553];[-8.32096625e-04,2.24191321e-03,9.92829491e-01,1.19515177e-01];[[4.314916, -1.20150477], [2.59581803, 4.87359341], [-0.50372054, 0.2231732], [-1.69999998, 5.20000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.96628027481353], [50.04484943153571], [933.1825290857116], [50.500147269840326], [0], [0], [0], [0], [0], [0]];[-0.50372054,0.2231732]
[-0.28990231,0.36674048];[-0.00172668,0.00237551,0.95939225,-0.28206007];[[1.19741449, -0.90998338], [-1.61986059, 0.43186791], [6.5000001, 1.50000002], [4.70000007, -0.30000001], [2.40000004, 4.60000007], [-0.4, 4.30000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[55.14467461513654], [394.2503130259741], [48.4278556542406], [52.065612968675076], [51.4801079542653], [51.61438922763282], [0], [0], [0], [0]];[-1.61986059,0.43186791]
[-1.36056636,0.41967313];[-0.00136078,0.00155822,0.99968082,0.02517892];[[-0.88558934, 4.71970763], [4.26929499, -0.05401059], [3.56939928, -1.80857578], [-1.60000003, -1.90000002], [2.40000003, 4.60000007], [-2.90000005, -0.4], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[59.60737969516389], [421.7181288735502], [428.29318757746273], [279.70036224423353], [59.051107006203324], [266.89086667686956], [0], [0], [0], [0]];[3.56939928,-1.80857578]
[3.54129731,-1.75565573];[8.51868913e-04,2.55004655e-04,-3.25879126e-01,9.45411023e-01];[[-4.59768795, -0.22938689], [-1.34708347, -1.87074551], [-1.14772812, 4.98414324], [5.50000038, -0.79999973], [5.00000037, -2.79999976], [2.60000033, -3.79999978], [0.70000031, -1.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1684.7238984307241], [1155.8133396377975], [1499.6650800747927], [408.05304609975155], [409.9342982870347], [408.8207159474289], [408.6664127193522], [0], [0], [0]];[-4.59768795,-0.22938689]
[-4.34502219,-0.25539191];[-2.52936026e-04,3.64781992e-04,9.98632875e-01,5.22701791e-02];[[2.95020267, -4.10362697], [8.10000065, 0.7000002], [7.68957376, -3.10068917], [6.10000062, 3.00000024], [5.90000061, -2.89999985], [5.2000006, -6.2999999], [-1.4999995, -2.49999985], [-3.99999953, 2.40000023], [-3.99999953, 0.10000019], [-6.09999956, 1.70000022]];[[4.947679885984086], [32.90777903237546], [18.615706347657934], [7.035170215708975], [26.02645426630307], [23.38019997790835], [14.293068702821051], [5.378280765252782], [14.800888900403812], [5.14938334998519]];[8.10000065,0.7000002]
[8.28007628,0.66249338];[-3.82688942e-04,-1.70434184e-04,1.32235871e-01,9.91218184e-01];[[3.22640274, -4.50129374], [-1.62909841, -2.74322838], [-7.96281322, -2.05091449], [5.0000006, -6.2999999], [-1.09999949, 4.80000026], [-9.19999961, 2.50000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[39.86823800775725], [38.665067197639125], [75.79765124404757], [63.54306566445262], [38.665067197639125], [211.70916292738713], [0], [0], [0], [0]];[-9.19999961,2.50000023]
[-8.80488963,2.39855165];[0.00251616,0.00115318,0.99898709,-0.0449125];[[1.80000037, -4.19999987], [-7.19999977, -2.59999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[64.13410867875577], [86.04455363990085], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.19999977,-2.59999985]
[-7.28420657,-2.45290731];[-0.00355087,0.00622569,-0.4945259,0.86913334];[[1.80000037, -4.19999987], [-3.09999971, -4.59999988], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[59.19995278579721], [37.989057013422205], [0], [0], [0], [0], [0], [0], [0], [0]];[1.80000037,-4.19999987]
[1.55320012,-4.12118117];[0.00647173,-0.00934613,-0.13554946,0.99070536];[[0.20000034, -3.69999977], [-1.49999968, -4.29999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[34.15510564035612], [34.32649235905279], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.49999968,-4.29999978]
