[0.16644601,0.21944652];[-1.44573014e-04,5.64389732e-04,2.89351972e-01,9.57222596e-01];[[3.15000005, 0.55000001], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.053701056217008], [8.705512962697732], [0], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000002]
[1.42031092,1.51824136];[8.17456377e-05,1.03037277e-03,3.79001617e-01,9.25395435e-01];[[4.27480429, 1.64449148], [0.39426285, 2.26441445], [2.52369285, 0.18232809], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.874930344534334], [18.963293583289868], [18.820611802768877], [0], [0], [0], [0], [0], [0], [0]];[0.39426285,2.26441445]
[0.59699717,2.09638857];[1.54073020e-04,1.38830350e-03,9.36786945e-01,3.49897518e-01];[[2.8521394, -1.33217377], [3.97813653, 1.01678726], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.26594634675203], [18.17349719402798], [0], [0], [0], [0], [0], [0], [0], [0]];[2.8521394,-1.33217377]
[2.72536401,-1.1012385];[-0.00306197,0.00089274,-0.54071318,0.84120097];[[5.31460452, 2.68309033], [4.80000033, -2.44999976], [-0.86603832, -0.40266222], [-2.05964003, 2.37422877], [-2.69999978, -0.89999973], [4.60000033, 0.60000029], [0.80000027, -4.29999978], [-0.20463517, 5.02241373], [-0.79999975, 3.60000033], [0.0, 0.0]];[[1.9247634957578832], [2.0564327817349], [40.50638809373445], [22.000769607945298], [35.272641298109946], [2.055657444714518], [1.9229796479228864], [1.8081433416381294], [1.9166268189174558], [0]];[-0.86603832,-0.40266222]
[-0.60925806,-0.41780995];[0.0073927,0.00249881,0.99995052,0.0061694];[[-2.60324332, -1.16804736], [0.94865356, -4.55705984], [5.40000034, -3.39999985], [4.60000033, 1.60000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[89.02982085928399], [299.31374881121803], [84.12524192916817], [341.93593119770617], [0], [0], [0], [0], [0], [0]];[4.60000033,1.60000022]
[4.37700679,1.51132707];[6.94790004e-04,4.97767023e-03,1.84689649e-01,9.82784038e-01];[[-2.33446328, -2.75583562], [5.40000037, -3.39999985], [0.7000003, -4.29999987], [-3.19999976, -0.49999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[111.7313184190725], [115.99161012819198], [112.27566553898971], [494.13883937041567], [0], [0], [0], [0], [0], [0]];[-3.19999976,-0.49999981]
[-2.96383548,-0.42527717];[0.01031799,0.00158184,0.98965794,-0.14306713];[[0.64656278, -3.80577524], [-3.79439594, -0.39648992], [5.40000028, -3.39999985], [-2.19999983, -3.39999985], [-3.89999986, -3.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[200.34438180530074], [307.29424856773517], [201.12441358069972], [203.99973817514007], [204.9464401892348], [0], [0], [0], [0], [0]];[-3.79439594,-0.39648992]
[-3.54414326,-0.40086235];[0.01075148,0.00234345,0.99964715,0.02417646];[[8.60526261, 0.55238839], [5.81077996, -2.8543086], [-4.14999975, 0.2500002], [0.70000032, -4.29999987], [-2.19999972, -3.39999985], [-3.89999975, -3.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [308.9631714449755], [212.61580407497664], [202.72045680037417], [206.1678316111398], [207.11230084934283], [0], [0], [0], [0]];[5.81077996,-2.8543086]
[5.69146364,-2.7860556];[-0.00293599,0.00401913,-0.24847713,0.96862498];[[-4.51344877, 0.15529787], [8.69999989, 0.89999976], [0.19999976, -4.00000032], [-3.50000029, 2.69999978], [-4.0000003, -3.80000031], [-4.54089355, -5.20976925], [-6.70000034, 1.99999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[115.32779857279863], [120.04945506117863], [177.16929024513522], [182.55477425805955], [115.27431786189914], [112.47401324774742], [216.297714318292], [0], [0], [0]];[-6.70000034,1.99999977]
[-7.64553794,1.18698283];[0.00712955,0.00798769,0.84575723,0.53346043];[[-1.70067566, -2.90431679], [-4.40615206, -4.3215397], [0.70000035, -4.30000032], [-7.89999978, -2.50000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.300429285304672], [11.316471787428767], [11.121857812092315], [27.133414300135595], [0], [0], [0], [0], [0], [0]];[-7.89999978,-2.50000029]
[-7.90512823,-2.26575659];[-0.0083398,0.00516378,-0.7032383,0.71088652];[[0.70000035, -4.30000032], [-2.29999969, -3.50000031], [-4.79999973, -4.40000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.56589432896975], [11.75595521078896], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-2.29999969,-3.50000031]
