[0.1789494,0.23247118];[-8.53300221e-05,5.40588616e-04,3.03494736e-01,9.52832959e-01];[[1.12919666, 1.75762171], [3.10000005, 0.60000001], [2.30000004, -1.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[211.1605277405375], [215.10301988885223], [204.29504630904452], [0], [0], [0], [0], [0], [0], [0]];[3.10000005,0.60000001]
[2.84014331,0.56142562];[-7.01995544e-04,-8.69387930e-04,8.13543145e-02,9.96684621e-01];[[3.02632128, -1.86404171], [3.04983397, 4.71482814], [5.1616354, 0.28305325], [1.20000002, 2.70000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[47.79322836415974], [42.676086738598], [48.060807557966754], [47.95066380654452], [0], [0], [0], [0], [0], [0]];[5.1616354,0.28305325]
[4.91304898,0.31207058];[-5.49347030e-04,-5.88160559e-05,-4.23526401e-02,9.99102577e-01];[[5.09671862, -0.98130307], [4.08672537, -2.50041979], [3.6096067, 4.9699856], [1.19874196, 2.72561655], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [27.724056945591396], [27.586279405718518], [27.58968516964182], [0], [0], [0], [0], [0], [0]];[4.08672537,-2.50041979]
[4.15682851,-2.25561002];[-5.20647501e-04,-4.11264818e-03,-7.99205331e-01,6.01043800e-01];[[8.03851231, 0.00245211497], [0.6474229, 1.34829384], [5.40000011, -3.29999977], [3.60000009, 4.70000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[178.83351249321552], [371.8356037871679], [31.762463218783246], [26.616718991179283], [0], [0], [0], [0], [0], [0]];[0.6474229,1.34829384]
[0.83217257,1.1660897];[-0.00213285,0.00214718,0.92240738,0.38620651];[[8.03743569, -4.28001134], [-1.36666669, -2.49999985], [3.80662761, 5.4555406], [8.00000012, 0.10000019], [5.60000008, -3.59999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.870351106427421], [14.59876004051044], [14.598760040510435], [13.870351106427414], [13.870351106427421], [0], [0], [0], [0], [0]];[-1.36666669,-2.49999985]
[-1.44486025,-2.56041587];[-7.95423009e-04,-2.25448415e-03,-8.02594582e-01,5.96520086e-01];[[8.11272866, 0.00431208163], [5.44453702, -3.20503114], [3.90000007, 5.10000027], [-0.7017259, -4.6862731], [-3.70000004, -0.29999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.089600643634803], [13.77949637969092], [13.1841480128418], [26.278254029215425], [14.271042117571088], [0], [0], [0], [0], [0]];[-0.7017259,-4.6862731]
[-0.80235063,-4.45228142];[-3.35224567e-03,-6.88893952e-04,-5.40752033e-01,8.41175089e-01];[[8.34559345, -4.40304279], [8.00000013, 0.10000019], [5.6000001, -3.59999986], [3.90000007, 5.10000027], [-3.70000004, -0.29999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.48192560343885], [39.59778518403512], [13.803669585788978], [19.628047638652067], [14.277116412974449], [0], [0], [0], [0], [0]];[8.00000013,0.10000019]
[7.79019353,-0.01690839];[-0.00277881,-0.00179668,0.24260223,0.97012021];[[-4.48722505, -0.41519888], [3.45227586, 4.66228813], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.782360039829099], [15.59048255986507], [0], [0], [0], [0], [0], [0], [0], [0]];[3.45227586,4.66228813]
[-3.34807291,-0.00446577];[0.00221922,0.00306004,0.98569045,-0.16852315];[[-3.98155844, 0.52232631], [-3.29999964, -4.09999987], [-6.69999959, 1.70000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.12591918494312782], [0.09604741828046431], [0.09609507008636914], [0], [0], [0], [0], [0], [0], [0]];[-3.98155844,0.52232631]
[-3.78357119,0.38320377];[0.00108292,0.00380278,0.95066719,0.31018744];[[-7.40000036, 2.45000023], [-3.4000003, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.09672603254893036], [0.09662142537803067], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.40000036,2.45000023]
[-7.70037976,2.48504576];[-0.01760165,0.0246159,0.87549633,0.48227629];[[-3.39999952, -4.09999987], [-7.59999958, -2.49999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.041805125765244], [33.767873814439504], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.59999958,-2.49999985]
[-7.62038126,-2.26309007];[0.02764294,-0.03917151,-0.66518757,0.74513553];[[-3.39999952, -4.09999987], [-4.79999954, -3.39999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.002900206855184], [28.47003486326814], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.79999954,-3.39999986]
