[0.16214748,0.21100828];[-3.39463913e-04,5.65326474e-04,2.92335787e-01,9.56315501e-01];[[3.25000005, -1.44999999], [2.95000004, 0.45000003], [2.10000003, 2.90000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[65.93539631960645], [68.61895546977502], [64.59036775394027], [0], [0], [0], [0], [0], [0], [0]];[2.95000004,0.45000003]
[2.70608993,0.41842911];[-8.04335804e-04,-2.06257213e-04,5.62701998e-02,9.98415235e-01];[[1.73439105, 3.57276805], [3.35000005, -1.09999999], [4.20000006, 5.0000001], [0.80000001, -0.69999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.157973197685216], [20.402327355282093], [16.44251018136609], [104.72224155432974], [0], [0], [0], [0], [0], [0]];[0.80000001,-0.69999998]
[0.9937725,-0.56485469];[0.00102011,0.00185684,0.95571724,-0.29427891];[[4.33633135, -2.00214017], [0.79334503, -4.22031129], [7.40000011, -0.3], [5.00000007, -0.5], [1.79872549, 4.38934708], [1.00000001, 2.10000004], [-0.10639607, 0.15881245], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.655335940420995], [8.655335940420995], [7.97791997020821], [8.655335940420995], [8.655335940420995], [9.453632754927778], [9.453632754927778], [0], [0], [0]];[1.00000001,2.10000004]
[1.00368547,1.85160667];[-5.75276171e-04,3.27266844e-03,7.06615610e-01,7.07589817e-01];[[7.40000015, -0.2999998], [5.00000012, -0.4999998], [4.40000011, -2.09999983], [-1.89999999, -1.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.954846465694112], [13.687118866386095], [8.497490722374923], [8.464578001843725], [0], [0], [0], [0], [0], [0]];[5.00000012,-0.4999998]
[4.78770116,-0.3748966];[-0.00295824,0.0011023,-0.259676,0.96569063];[[5.95275168, -2.56680374], [7.3295728, 2.49400177], [4.17232515e-08, -4.29999986], [-1.89999999, -1.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[125.79264648411284], [10.04051020482173], [9.591712321080504], [43.43376032679183], [0], [0], [0], [0], [0], [0]];[5.95275168,-2.56680374]
[5.82582916,-2.35442492];[-2.92597082e-03,4.02686653e-04,-5.01804014e-01,8.64976298e-01];[[7.55032629, 2.44387445], [4.17232515e-08, -4.29999986], [-1.89999999, -1.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[301.68734704789904], [11.98357420916762], [35.18306548891747], [0], [0], [0], [0], [0], [0], [0]];[7.55032629,2.44387445]
[7.52463181,2.25943681];[-0.00435229,0.0067158,0.66774495,0.74434712];[[4.17232515e-08, -4.29999986], [-1.89999999, -1.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[85.8290651597286], [188.80119966614853], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.89999999,-1.59999982]
[-2.01100455,-1.61004513];[-4.90908282e-04,3.14485639e-03,9.51639065e-01,-3.07201823e-01];[[-0.3000001, -4.29999986], [-3.70000015, 0.50000021], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.891536098858104], [18.388165379681453], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.70000015,0.50000021]
[-3.55376218,0.2886172];[-8.52524613e-04,4.14120017e-03,9.18879208e-01,3.94516318e-01];[[-0.79339146, -4.47335537], [-3.84999975, 2.30000024], [-4.09999975, 0.30000021], [-4.39999976, -3.09999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.078031849280904], [0.0], [18.558550971435622], [18.078031849280904], [0], [0], [0], [0], [0], [0]];[-4.09999975,0.30000021]
[-3.86579243,0.25949529];[3.75285692e-04,4.45473747e-03,9.94908065e-01,1.00687453e-01];[[-0.29999967, -4.29999986], [-4.39999973, -3.09999984], [-7.49999978, 1.10000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.735836023258795], [17.73583602325878], [17.735836023258795], [0], [0], [0], [0], [0], [0], [0]];[-0.29999967,-4.29999986]
