[0.17139533,0.22846987];[4.08792409e-04,8.77736883e-04,2.99885923e-01,9.53974587e-01];[[3.00000005, 0.70000001], [2.40000004, -1.70000003], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[179.31300891478114], [168.61070133601896], [175.19785616981707], [0], [0], [0], [0], [0], [0], [0]];[3.00000005,0.70000001]
[2.75921422,0.64991956];[-0.00137807,-0.00225464,0.10665749,0.99429231];[[3.14136989, -0.67194657], [2.53115775, 4.17478735], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[44.87074694490685], [40.02707164996601], [0], [0], [0], [0], [0], [0], [0], [0]];[3.14136989,-0.67194657]
[3.05612924,-0.42556431];[3.71648310e-04,-1.71300006e-03,-5.74127474e-01,8.18764052e-01];[[3.69348183, -2.13696686], [3.50000005, 4.4000002], [1.30000002, 2.80000017], [1.40000002, -3.10000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[226.12230531221172], [204.26667086144255], [205.25605106793182], [1314.5611744812322], [0], [0], [0], [0], [0], [0]];[1.40000002,-3.10000006]
[1.52908872,-2.95712924];[-1.80836133e-04,4.92675695e-03,9.20685664e-01,-3.90273752e-01];[[4.74491821, -3.29294089], [0.91591593, -3.40489134], [6.5000001, -1.99999985], [3.50000005, 4.40000025], [1.30000002, 2.80000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.65614824375486], [29.102334689548208], [8.65614824375486], [7.925736546094562], [7.925736546094562], [0], [0], [0], [0], [0]];[0.91591593,-3.40489134]
[4.49775195,-3.30695942];[-7.32850022e-04,-8.55344700e-04,3.86472776e-02,9.99252278e-01];[[2.34370582, 4.08475938], [0.55621272, 1.03427032], [8.60000016, 1.49999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.9277844349001112], [2.0875460353130757], [2.1001114078641128], [0], [0], [0], [0], [0], [0], [0]];[8.60000016,1.49999992]
[0.66792198,0.19181943];[3.87379079e-04,1.14770658e-04,9.98875731e-01,4.74038130e-02];[[3.00000004, 4.59999997], [-2.00000003, -0.85000011], [-0.40000001, -4.00000016], [-0.50000001, 3.59999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [28.390655974586423], [24.550986850401504], [0], [0], [0], [0], [0], [0]];[-0.40000001,-4.00000016]
[-0.39237419,-4.16085183];[-3.22373983e-04,-3.63532864e-03,-8.44543202e-01,5.35474975e-01];[[3.0763527, 4.81906227], [-0.49999996, 3.49999995], [-1.79999998, -1.50000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [27.90750991485496], [28.747153215051796], [0], [0], [0], [0], [0], [0], [0]];[-1.79999998,-1.50000012]
[-1.70275576,-1.74167157];[-1.90934959e-03,-7.02181423e-04,8.19313682e-01,5.73341894e-01];[[-3.72000015, 0.65999991], [2.99999995, 4.59999997], [-0.5000001, 3.54999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.194347067478283], [0.0], [30.19434706747835], [0], [0], [0], [0], [0], [0], [0]];[-0.5000001,3.54999995]
[-0.56344338,3.33147034];[5.00808946e-04,-2.21904043e-04,6.09448914e-01,7.92825146e-01];[[-4.04983186, 2.00635935], [-3.60000003, -9.98377798e-08], [-6.50000008, 1.09999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.09961678616799458], [0.09995185202744102], [0.0971324204586966], [0], [0], [0], [0], [0], [0], [0]];[-3.60000003e+00,-9.98377798e-08]
[-3.62500003,1.16622552];[-1.61933274e-03,-4.89139279e-05,7.85063019e-01,6.19413773e-01];[[-4.20000032, 0.1999999], [-7.70000037, 2.99999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.11878024909893566], [0.08690922369122137], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.20000032,0.1999999]
