[0.1713888,0.22215412];[-8.00575969e-05,5.30874790e-04,2.90450676e-01,9.56889808e-01];[[3.05000005, 0.5], [2.40000004, -1.70000003], [2.00000003, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.065756757248849], [12.032052898190512], [13.118788520120571], [0], [0], [0], [0], [0], [0], [0]];[2.00000003,2.10000003]
[1.8286718,1.92830365];[2.87572346e-04,1.22612596e-03,3.86430719e-01,9.22317576e-01];[[3.31731854, -1.82006167], [0.59868346, 2.50712368], [4.40000007, 5.40000008], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.294242433617963], [13.652067242574645], [12.26813107503004], [0], [0], [0], [0], [0], [0], [0]];[0.59868346,2.50712368]
[0.82777464,2.38247996];[-4.08012288e-04,2.73114151e-03,9.62928439e-01,2.69742838e-01];[[3.27605631, -1.82278686], [4.6363821, 1.09811211], [0.50000001, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.00239084640693], [37.41649898785602], [40.95771966854666], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,3.20000004]
[0.61289736,2.96462527];[-0.00154782,0.0016073,0.85031077,0.52627615];[[3.10056381, -0.48980139], [0.54936344, 3.21552646], [4.63755846, 1.0994792], [0.99871379, 4.89355707], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.52686213379858], [40.90732801675373], [37.40386245704744], [40.750910694317106], [0], [0], [0], [0], [0], [0]];[0.54936344,3.21552646]
[0.61139632,2.96515179];[-0.00145982,0.0013406,0.85019319,0.52646713];[[3.39878254, -0.25231999], [4.91521645, 5.29486275], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.5491462391148], [30.449988824398574], [0], [0], [0], [0], [0], [0], [0], [0]];[3.39878254,-0.25231999]
[3.23053654,-0.07485913];[3.58904636e-04,-1.55650393e-03,-3.90131786e-01,9.20757643e-01];[[4.54626745, -2.90315913], [1.49417853, -3.65049028], [0.50000002, -0.99999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.705399109957142], [18.675692574270084], [133.71081576102833], [0], [0], [0], [0], [0], [0], [0]];[0.50000002,-0.99999982]
[0.73164468,-0.90160474];[-0.00155145,0.00211696,0.97869076,-0.20532294];[[-0.99999992, -3.79999977], [-0.35847162, 1.3777193], [-1.69999993, -1.49999973], [-2.54999994, -0.14999971], [5.80000018, -4.59999978], [5.74701405, 2.40790772], [5.20000017, -2.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.02047697048296], [14.94436127769788], [23.962274153796567], [23.800204891601055], [13.192634828033174], [13.192634828033158], [14.020476970482973], [0], [0], [0]];[-1.69999993,-1.49999973]
[-1.93467477,-1.49562601];[0.00155776,0.00320778,0.97891344,-0.20424435];[[-1.34999971, -4.49999978], [5.8000004, -4.59999978], [5.74171114, 2.41533089], [5.20000039, -2.69999975], [5.11431217, 5.23350573], [-0.7999997, 2.50000032], [-1.69999972, -1.39999973], [-3.69999975, 0.30000029], [0.0, 0.0], [0.0, 0.0]];[[14.258569849128781], [92.44552872036503], [13.539906263486351], [13.539906263486376], [11.72756414934345], [14.258569849128747], [53.73725775304025], [15.046984671477945], [0], [0]];[5.8000004,-4.59999978]
[5.71148141,-4.52468951];[1.80681180e-03,-3.76574328e-05,-3.05431736e-01,9.52212256e-01];[[-0.3578448, -4.6282986], [-0.4999997, 4.80000036], [-3.39999975, 2.50000032], [-4.19999976, 0.20000029], [-4.39999976, -4.19999977], [-5.19999977, -2.89999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.64306000019401], [28.60758659211414], [114.11441259224137], [28.660229133016532], [40.562060369930855], [33.44333823570649], [0], [0], [0], [0]];[-3.39999975,2.50000032]
[2.02347151,-1.09143164];[-1.66727399e-03,6.13019727e-04,9.61938058e-01,2.73261814e-01];[[-5.1539804, -3.98062601], [8.35000043, 1.0500003], [-3.29631717, 2.52630274], [-4.19999976, 0.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.14374741702342], [34.15670623599151], [34.15670623599151], [34.15670623599144], [0], [0], [0], [0], [0], [0]];[-5.1539804,-3.98062601]
