[0.17413958,0.23007079];[-3.54463038e-04,2.55015229e-04,2.98778981e-01,9.54322235e-01];[[3.10000005, 0.55000001], [2.50000004, -1.30000002], [2.40000004, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[339.671415213971], [321.18304477811694], [324.4674175999025], [0], [0], [0], [0], [0], [0], [0]];[3.10000005,0.55000001]
[2.85940172,0.51779242];[-7.58465720e-05,-7.99221653e-04,6.87303785e-02,9.97634945e-01];[[3.92803652, -1.40092643], [1.24688923, -1.10881865], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.010894790838723], [24.073820889160626], [0], [0], [0], [0], [0], [0], [0], [0]];[1.24688923,-1.10881865]
[1.4170827,-0.9208204];[-0.00224314,0.00188748,0.90935661,-0.41600718];[[0.643194, 1.84668121], [7.90000016, 2.00000021], [7.30000015, -0.29999982], [4.30000011, -2.09999985], [1.80000007, -4.19999988], [-1.19999998, -2.19999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.573144271555943], [8.92665212654144], [8.908859788766339], [10.60674200919558], [9.70067629231325], [77.73818242398585], [0], [0], [0], [0]];[-1.19999998,-2.19999985]
[-1.63867173,-2.23115027];[0.0069064,0.00922528,0.95173559,0.30670273];[[2.04312488, -4.60225408], [-3.14999976, -4.09999976], [-3.49999976, 0.1500003], [7.90000041, 2.00000033], [7.3000004, -0.2999997], [4.30000035, -2.09999973], [-0.69999972, 2.80000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.07556275839092], [48.5634634833536], [51.347455766666066], [245.61355119781686], [44.92731801334029], [47.56306269688631], [49.114685106683346], [0], [0], [0]];[7.90000041,2.00000033]
[8.01205365,2.09701788];[-5.30833145e-04,-1.69821568e-03,1.23051494e-01,9.92398690e-01];[[-3.75000014, 0.55000031], [8.60000004, 0.70000031], [4.39999998, -2.19999973], [0.19999992, -4.69999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[42.467878485297], [22.83873342187162], [16.630317520910904], [15.96028862260016], [0], [0], [0], [0], [0], [0]];[-3.75000014,0.55000031]
[-3.5477187,0.52965314];[0.00699354,0.00809597,0.99864615,0.05090612];[[7.26250601, -2.22373486], [4.40000038, -2.19999973], [1.90000034, -4.49999976], [0.20000031, -4.69999977], [-7.2999998, 3.10000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.627318880304934], [34.0971505916545], [19.1518071103639], [19.151807110363915], [19.151807110363933], [0], [0], [0], [0], [0]];[7.26250601,-2.22373486]
[7.02938203,-2.14904311];[-0.0032377,0.00147769,-0.16154289,0.98685927];[[-3.46715013, -4.21266203], [5.10044241, 5.87343502], [-3.79999972, 2.40000034], [-7.29999978, 2.50000034], [-8.19999979, -0.79999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[464.2323727669899], [281.35311219472294], [1385.9182123749792], [988.8964343175916], [1315.221491876917], [0], [0], [0], [0], [0]];[-3.79999972,2.40000034]
[-4.27666029,2.2903773];[0.02355701,0.00480257,0.92448583,-0.38045755];[[-3.25000029, -4.24999976], [-5.60000032, 0.40000031], [-7.20000035, 2.10000033], [-8.30000037, -0.79999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.851271106361022], [14.639281512187756], [3.670266650123111], [2.9041545477668342], [0], [0], [0], [0], [0], [0]];[-5.60000032,0.40000031]
[-5.4192432,0.58328718];[0.02511039,0.00236613,0.91550477,-0.40151574];[[-3.54003518, -4.39948587], [-7.09999977, 2.20000034], [-8.69999979, 0.50000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04710147390935752], [0.02243858852933292], [0.02026668928383534], [0], [0], [0], [0], [0], [0], [0]];[-3.54003518,-4.39948587]
[-3.49520761,-4.44660152];[-0.00676432,-0.0017492,-0.66493954,0.74686449];[[-8.21597219, -1.79888773], [-4.79999973, -4.09999976], [-7.09999977, 2.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04346735887099349], [0.04430927244870651], [0.04564507142468704], [0], [0], [0], [0], [0], [0], [0]];[-7.09999977,2.20000034]
