[0.16677597,0.21407181];[-2.02276979e-04,5.32193098e-04,2.80514072e-01,9.59849750e-01];[[3.10000005, 0.80000001], [2.50000004, -1.70000003], [1.60000002, 1.90000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.514789864964596], [15.514973009764383], [15.764138045933269], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.90000003]
[1.43627204,1.72047075];[0.00155093,0.00149464,0.4045673,0.9145057];[[3.77785338, -1.19966418], [0.60000001, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[40.052581474887766], [44.09619496125487], [0], [0], [0], [0], [0], [0], [0], [0]];[0.60000001,2.20000003]
[0.78236038,2.05010841];[4.70347741e-04,-1.53874697e-04,9.28361548e-01,3.71678089e-01];[[3.63742547, -0.76993515], [0.48785478, 2.73518827], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.220500709814942], [18.861107316017296], [0], [0], [0], [0], [0], [0], [0], [0]];[0.48785478,2.73518827]
[0.59817492,2.51470581];[-1.58005012e-04,1.14208584e-03,8.41303265e-01,5.40562188e-01];[[4.63719384, 2.15976803], [0.49484891, -0.50544703], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.112888291221008], [14260.250651897326], [0], [0], [0], [0], [0], [0], [0], [0]];[0.49484891,-0.50544703]
[0.50699262,-0.24731945];[3.09265407e-05,1.22400004e-03,-7.24934347e-01,6.88816881e-01];[[3.75238654, -0.09159499], [-0.80700552, 4.31230795], [-0.90000002, -2.05000002], [2.57026815, -2.20055819], [-0.70000002, 2.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.35115244593013617], [0.3458180978178732], [30.152417996581132], [0.37153833535719755], [0.36336454312939176], [0], [0], [0], [0], [0]];[-0.90000002,-2.05000002]
[-1.38719736,-1.54913931];[3.71297907e-04,1.94493120e-03,-4.29770567e-01,9.02935948e-01];[[-3.59176532, -0.22896074], [-2.05851987, 2.04272271], [-3.85000005, -4.30000017], [3.40000006, -0.50000011], [2.53651428, -2.20859528], [-1.40000001, -3.80000016], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.564409045286468], [0.5279477720169458], [0.5232173100477755], [6.322114879968291], [0.5287565289836282], [1.0324015138420524], [0], [0], [0], [0]];[3.40000006,-0.50000011]
[3.28748596,-0.4855472];[-0.00212257,-0.00100465,-0.00673164,0.99997459];[[5.15000009, -2.82499975], [5.05863231, -0.30391312], [-0.39686693, -4.19625691], [-2.15738765, 2.09091858], [-3.80000004, 0.5500003], [-1.60318422, 4.89434576], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.258417762877711], [13.90371989065417], [14.639632710289725], [13.258417762877711], [12.66446775970348], [12.664467759703475], [0], [0], [0], [0]];[-0.39686693,-4.19625691]
[-0.40907894,-4.15927191];[-4.08323670e-04,5.97307143e-05,8.80912542e-01,-4.73278906e-01];[[-3.80000004, 0.5500003], [5.40000009, -2.39999975], [-1.80000001, 1.50000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.09059993387636332], [0.08751471210597048], [0.4443986720991622], [0], [0], [0], [0], [0], [0], [0]];[-1.80000001,1.50000031]
[-1.76288239,1.25423632];[-4.12056692e-04,7.97230295e-04,7.41752511e-01,6.70673090e-01];[[-3.76666671, 1.33333364], [5.40000009, -2.39999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.70953282960665], [11.06049191197454], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.76666671,1.33333364]
[-3.94534388,1.29266607];[5.50801097e-05,1.82303985e-03,9.94672150e-01,1.03072680e-01];[[5.40000039, -2.39999975], [-3.99999975, 0.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.59074482524993], [24.371853436711103], [0], [0], [0], [0], [0], [0], [0], [0]];[5.40000039,-2.39999975]
[5.1902544,-2.28011075];[-1.43730145e-04,6.30871915e-04,-2.84061184e-01,9.58805938e-01];[[-7.53333309, 1.23333365], [8.40000048, 1.20000031], [-3.4999997, 2.50000033], [-4.59999971, 0.4000003], [-8.59999977, -1.79999973], [-10.1999998, -1.89999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[74.58239541692127], [43.54542190337695], [78.95312007173806], [233.04282041056416], [88.9916453163572], [71.91696630509549], [0], [0], [0], [0]];[-4.59999971,0.4000003]
[-4.3811879,0.35615115];[-3.37378399e-04,6.83480427e-04,9.93922654e-01,1.10078106e-01];[[-7.9333331, 1.30000022], [8.40000047, 1.20000022], [-3.4999997, 2.60000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.015426175883019127], [0.1075976852370706], [0.06501093459341932], [0], [0], [0], [0], [0], [0], [0]];[8.40000047,1.20000022]
