[0.16982454,0.22713688];[-3.17032124e-04,5.17774503e-04,3.00229478e-01,9.53866811e-01];[[3.05000005, 0.60000001], [4.30000006, 4.00000006], [2.30000004, -1.40000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.6320059378423597], [2.371373705661656], [2.6320059378423593], [2.6320059378423593], [0], [0], [0], [0], [0], [0]];[3.05000005,0.60000001]
[2.81627782,0.56664827];[-0.00106794,-0.00214929,0.08111206,0.99670211];[[3.19954376, -0.61929659], [1.3454503, 2.715259], [4.86643696, -0.000860650092], [2.19417834, 4.13727427], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[95.70741025327847], [96.65109956893085], [181.22293183327815], [86.90607976320193], [0], [0], [0], [0], [0], [0]];[4.86643696e+00,-8.60650092e-04]
[4.62740565,0.06236589];[-4.74194112e-04,-1.08592609e-03,-1.32076092e-01,9.91238876e-01];[[5.65206537, -2.94880114], [3.45241449, -2.65407901], [3.27847099, 5.06783438], [8.40000013, 1.10000028], [1.40000002, 2.80000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[166.91835907256495], [183.046543388126], [0.0], [166.68509826617782], [165.82591194698063], [0], [0], [0], [0], [0]];[3.45241449,-2.65407901]
[3.54461156,-2.42088668];[2.89934903e-03,-6.94259342e-04,-8.36639594e-01,5.47745625e-01];[[8.24236479, 0.52564588], [8.70000015, 2.34999994], [2.30000005, -4.80000017], [1.00000003, 1.39999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[230.43811249657205], [139.63831268854724], [365.84335692781093], [569.2259140271856], [0], [0], [0], [0], [0], [0]];[1.00000003,1.39999992]
[1.15292776,1.20600599];[-1.60040678e-03,4.70277414e-04,9.00569046e-01,4.34709809e-01];[[8.70000013, 1.83333337], [-0.70000001, 4.60000007], [-1.40000002, 0.10000001], [-2.20000003, -2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[108.60052589465867], [114.1437207281239], [381.3976680502048], [113.5127480199345], [0], [0], [0], [0], [0], [0]];[-1.40000002,0.10000001]
[-1.17983896,0.20199135];[-0.00120765,0.00097813,0.97672048,-0.21451035];[[8.7000002, 1.83333337], [7.51998615, -0.19793153], [-2.79999978, -0.3], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[248.62176846908724], [141.19746892497204], [154.90688893028323], [0], [0], [0], [0], [0], [0], [0]];[8.7000002,1.83333337]
[8.57403591,1.84764659];[-1.52810065e-03,-7.81030415e-04,-4.18715827e-02,9.99121526e-01];[[-4.01179282, -0.49254496], [9.10000034, 0.80000002], [4.60000027, -6.40000009], [-3.39999985, -4.30000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.14499117981014], [24.942740491631348], [22.183693403962625], [104.67429824909779], [0], [0], [0], [0], [0], [0]];[-3.39999985,-4.30000006]
[-3.64218732,-4.35063632];[2.55132303e-04,1.72354207e-03,9.49300817e-01,-3.14364314e-01];[[-5.70000034, -3.40000005], [-3.80000031, 0.20000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [36.50470028762713], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.80000031,0.20000001]
[-3.76558601,0.24764865];[-0.00318315,0.00214938,0.79650976,0.60461348];[[-7.48781466, -0.99530539], [-5.39999973, -0.1], [-5.89999974, -2.70000004], [-7.59999977, -2.70000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.79615564695855], [39.63255257578351], [32.796155646958596], [31.915906453114957], [0], [0], [0], [0], [0], [0]];[-5.39999973,-0.1]
[-5.17927245,-0.04595265];[-0.00233561,0.00168003,0.9913393,-0.13129402];[[-7.49999976, 1.70000003], [-5.69999974, -0.4], [-5.89999974, -2.70000004], [-7.59999977, -2.70000004], [-7.93920946, -1.0837338], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.072372353318237], [31.91590645311491], [31.07237235331825], [31.07237235331829], [31.91590645311493], [0], [0], [0], [0], [0]];[-7.93920946,-1.0837338]
[-7.70298415,-0.99884894];[6.85916664e-04,3.60328178e-03,9.81629243e-01,-1.90763124e-01];[[-8.30518501, -2.90390658], [-5.89999974, -2.70000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.933429337173003], [7.737132932397415], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.30518501,-2.90390658]
