[0.16748022,0.21704764];[-3.73606894e-04,3.66958694e-04,2.85489875e-01,9.58381580e-01];[[3.20000005, 0.55000001], [2.70000004, -1.20000002], [2.00000003, 2.40000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.252543288610221], [11.885225082990248], [12.029185442640351], [0], [0], [0], [0], [0], [0], [0]];[2.00000003,2.40000003]
[1.84137925,2.21821083];[0.00120549,0.00124662,0.41426052,0.91015669];[[4.25664327, 1.56680186], [0.65000001, 2.95000004], [4.20641327, -1.33730686], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[78.80636252926759], [78.27945155611258], [72.83322584602878], [0], [0], [0], [0], [0], [0], [0]];[4.25664327,1.56680186]
[4.01478105,1.63038841];[4.81904724e-04,1.47981222e-03,-1.26297674e-01,9.91991166e-01];[[5.2994125, -0.63886569], [6.49377952, 1.69229751], [3.20000005, -1.60000003], [0.65472567, -0.60014457], [0.40000001, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[134.14978142711433], [121.63430382113253], [121.06490436758004], [817.5041588083278], [122.78267462353878], [0], [0], [0], [0], [0]];[0.65472567,-0.60014457]
[0.86846272,-0.45250132];[-7.84187715e-04,1.50794880e-03,9.56164509e-01,-2.92825122e-01];[[3.66345541, -3.13540621], [8.55101859, 2.02814447], [-1.90000003, -0.84999983], [6.10016727, -1.80683637], [0.58971274, 3.66626525], [-2.98023206e-09, 2.10000021], [-0.13187355, 0.30895582], [-0.20000001, -3.59999987], [0.0, 0.0], [0.0, 0.0]];[[121.69928016790254], [115.23647689075695], [437.0839137255425], [122.49326761371277], [122.4971240386276], [131.6994187427547], [724.698106361751], [121.81150474627178], [0], [0]];[-0.13187355,0.30895582]
[0.07002512,0.15286451];[3.42630902e-04,1.97598301e-03,9.39759218e-01,3.41831235e-01];[[3.70486421, -3.12941709], [8.17598807, 1.79940073], [7.17924809, -2.05899954], [-0.25000001, -4.09999988], [-1.80000003, -1.89999985], [5.00038528, -1.51366246], [0.58327329, 3.59218478], [-0.30000001, 2.30000022], [0.0, 0.0], [0.0, 0.0]];[[10.051797606114237], [9.418199584603707], [9.418199584603702], [9.41819958460371], [44.73632621591384], [10.051797606114222], [10.051797606114222], [10.770153167189665], [0], [0]];[-1.80000003,-1.89999985]
[-1.72918339,-1.76380328];[-1.82877327e-03,-5.71545687e-04,-8.64493912e-01,5.02639650e-01];[[3.69476017, -3.12755051], [-0.29999972, -3.84999987], [8.60000042, 2.00000021], [7.31194019, -2.10841012], [-0.19999972, 2.20000022], [-1.71611321, 2.21228409], [-2.70312929, -1.92900145], [-2.89999976, -0.39999982], [0.0, 0.0], [0.0, 0.0]];[[40.70295029527236], [11.509198389524615], [44.49706775204972], [35.234490291667534], [11.509198389524615], [11.509198389524618], [12.226526867339992], [35.626190148366824], [0], [0]];[8.60000042,2.00000021]
[8.56451544,2.01742326];[-1.06019009e-04,4.37026609e-03,5.46847174e-02,9.98494102e-01];[[-0.68775443, 3.12854443], [-4.5670147, -0.44523119], [3.89999997, -2.70000004], [0.39999991, -4.10000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[87.06218590689244], [155.6510094265874], [90.7314609340697], [87.38586216528421], [0], [0], [0], [0], [0], [0]];[-4.5670147,-0.44523119]
[-4.33443314,-0.39284628];[0.01256465,-0.001393,0.99307911,-0.11676508];[[-4.20000032, 0.85000001], [3.7999998, -2.90000005], [0.39999975, -4.10000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[95.05045307694107], [136.9199472713283], [90.08828470946374], [0], [0], [0], [0], [0], [0], [0]];[3.7999998,-2.90000005]
[3.83938023,-2.88407377];[-6.78455114e-04,9.24906233e-03,-2.65190055e-01,9.64151567e-01];[[-4.39999952, 0.8500002], [5.40000062, -3.09999986], [2.20000057, -4.39999987], [0.40000055, -4.09999987], [-6.69999956, 2.20000022], [-7.69999957, 0.8000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-4.39999952,0.8500002]
[-4.17013364,0.76139578];[0.00173432,0.00140901,0.98656324,0.16336454];[[-4.85907326, 0.24804396], [-6.67202841, 1.93688464], [-7.74674604, 0.59693284], [2.10000057, -4.09999987], [0.40000055, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.106098213898523], [27.39285786613415], [0.0], [36.40023526860635], [31.972001681059332], [0], [0], [0], [0], [0]];[2.10000057,-4.09999987]
[2.02986053,-4.08262938];[0.00315712,0.0036739,-0.22200522,0.97503345];[[-8.20531638, -1.60830731], [-0.70306855, 4.58993816], [-3.49999951, 2.60000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[151.0492525892374], [43.09742045049032], [36.534094813515146], [0], [0], [0], [0], [0], [0], [0]];[-8.20531638,-1.60830731]
