[0.16632192,0.21756789];[1.92718559e-04,7.85471445e-04,2.91003792e-01,9.56721555e-01];[[2.50952008, -0.11459999], [2.10000003, 2.40000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[312.0445768564853], [316.10274586508314], [0], [0], [0], [0], [0], [0], [0], [0]];[2.10000003,2.40000003]
[1.93235192,2.21155848];[7.70083381e-04,1.33269846e-03,4.06514692e-01,9.13642950e-01];[[3.4052097, -1.16215232], [3.8506348, 0.8481456], [0.40000001, 2.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[138.70405232979425], [150.88879093725993], [152.87226349264589], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,2.00000003]
[0.64911183,2.00269434];[8.05902210e-04,2.42419141e-03,9.99993533e-01,2.53184904e-03];[[0.0697494, 1.96318384], [4.54257151, 1.74047867], [2.57074618, -1.80855453], [1.11351442, -1.01769078], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[60.28369423713577], [55.649384695969935], [55.76569832580161], [40661.546162062805], [0], [0], [0], [0], [0], [0]];[1.11351442,-1.01769078]
[1.06658889,-0.77942575];[-0.00741396,0.00457168,-0.62947817,0.77696935];[[3.43477982, -1.22467511], [-2.05726579, -1.12744812], [3.59208483, 0.95603126], [-0.69999975, 4.50000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.032474871388451], [73.13550991314395], [4.685983838454805], [4.685983838454807], [0], [0], [0], [0], [0], [0]];[-2.05726579,-1.12744812]
[-2.02340905,-1.09122426];[0.00982824,0.00272522,0.98384642,-0.17872384];[[4.21839445, 1.49510505], [-1.44999978, -4.45000008], [3.13318916, -2.8017965], [0.80000025, -4.10000007], [-0.69999977, 4.50000006], [-1.99999979, -1.80000004], [-3.79999981, -0.40000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.199337714198795], [0.10566985014081325], [0.10496272304118041], [0.10619032336459822], [0.1060975910593874], [0.11297194138205849], [0.11181368455972485], [0], [0], [0]];[4.21839445,1.49510505]
[3.98859997,1.39986768];[-8.73188960e-04,9.74923512e-05,1.91744433e-01,9.81444500e-01];[[-1.59999952, -4.45000008], [5.2092762, -4.35957813], [3.90000056, -2.90000005], [0.80000052, -4.10000007], [-1.29999952, 5.10000007], [-3.69999955, 2.60000003], [-3.79999955, -3.20000006], [-3.89999955, 0.09999999], [0.0, 0.0], [0.0, 0.0]];[[782.6629555833293], [243.22071000220745], [242.41905667986265], [231.91526739300787], [231.80495223647654], [222.25733596376895], [1362.8719624186097], [232.2332201853762], [0], [0]];[-3.79999955,-3.20000006]
[-3.59094385,-3.03501997];[5.13989003e-03,-2.19215299e-04,9.23095001e-01,-3.84537580e-01];[[-0.14999957, -4.54999979], [4.10332935, -2.44240355], [-4.00401491, 2.7699974], [7.63038993, -1.81016564], [-3.99999963, 0.10000028], [-8.24999969, -2.14999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.5012357998293622], [0.49720976114209336], [0.46594083675828857], [0.515647837211031], [0.5177364984939385], [0], [0], [0], [0]];[-8.24999969,-2.14999975]
[-8.01393028,-2.20192104];[0.01190019,0.003007,0.99387094,0.10986303];[[-0.03025801, -4.70854579], [4.0000004, -2.79999985], [-3.79999972, 2.60000023], [-5.19999974, 0.4000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9346218734943562], [1.0500502778390295], [0.5240943027133832], [0.5387888428204717], [0], [0], [0], [0], [0], [0]];[4.0000004,-2.79999985]
[3.76629829,-2.82488188];[-0.0043244,0.00617428,0.09815694,0.9951424];[[-0.89999967, -4.69999988], [-3.79999972, 2.60000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.2653350798279991], [0.5758459946919854], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.79999972,2.60000023]
[-4.14653478,2.63067232];[-2.80949884e-04,-1.30112653e-03,9.68900692e-01,2.47446324e-01];[[8.60000047, 2.60000023], [8.43933296, 0.11354597], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.453118025921587], [5.76777871412504], [0], [0], [0], [0], [0], [0], [0], [0]];[8.60000047,2.60000023]
