[0.16622724,0.21532154];[2.81126467e-04,7.76408947e-04,2.87064809e-01,9.57910803e-01];[[3.15000005, 0.60000001], [2.65000004, -1.95000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.972631230669629], [11.877338293933498], [0], [0], [0], [0], [0], [0], [0], [0]];[3.15000005,0.60000001]
[2.88994996,0.55993135];[4.25334457e-04,-8.84290603e-04,7.88725870e-02,9.96884223e-01];[[3.51689622, -1.41181556], [2.38362324, 3.80104991], [5.55873156, 0.4972381], [1.24645329, -1.11030543], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[116.26968728427835], [104.36573669622281], [116.72352911402852], [117.80591407931136], [0], [0], [0], [0], [0], [0]];[1.24645329,-1.11030543]
[1.41948093,-0.92090061];[-0.00206131,0.00241053,0.91323753,-0.40741522];[[5.37094613, -0.15669692], [4.30241843, -2.05104974], [0.19091895, 0.63545003], [2.40000008, -4.00000016], [1.79352212, 3.50796914], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[183.5194577769257], [198.41702048620775], [196.24512923310084], [181.6237852401735], [181.83412566711235], [0], [0], [0], [0], [0]];[4.30241843,-2.05104974]
[0.37777339,0.45851383];[-0.00263273,0.00167737,0.92021303,0.39140547];[[5.48945174, -3.4825735], [1.02238288, 2.43563705], [-1.33333326, -4.5333335], [-2.03333327, -1.13333345], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0038325058521338], [1.1433566605605971], [0.9978232184191577], [7.297537788768622], [0], [0], [0], [0], [0], [0]];[-2.03333327,-1.13333345]
[-1.81696604,-0.98300232];[0.00112031,0.00307717,0.95558716,-0.29469044];[[-3.92499977, -0.87500011], [4.99241037, -3.17914985], [1.30779695, 3.10214228], [-1.39999973, -4.60000017], [-2.30978395, -1.7973682], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.238984943128744], [9.498522785226598], [1.1768095585997491], [1.1698570155680472], [4.068328581453556], [0], [0], [0], [0], [0]];[4.99241037,-3.17914985]
[4.82481565,-3.08455789];[-1.13378290e-04,-1.47101117e-03,-2.73565619e-01,9.61852212e-01];[[-4.07039879, -0.95232443], [8.14078808, -0.19243553], [0.80000022, 2.70000004], [-1.09999981, -4.80000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [153.8839033548742], [347.2049581478617], [147.83218746805355], [0], [0], [0], [0], [0], [0]];[0.80000022,2.70000004]
[0.95086107,2.49205799];[-6.93625281e-04,-5.43241479e-05,8.91042009e-01,4.53920315e-01];[[8.72325889, 1.77417164], [-3.59999985, -0.3000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[201.9620752576832], [207.9128114339282], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.59999985,-0.3000001]
[-3.38257105,-0.17332796];[4.17883855e-04,8.78231679e-04,9.66447108e-01,-2.56863877e-01];[[8.39999987, 1.59999992], [-3.90000031, -0.1000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.32365509954159427], [0.5355059122248071], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.90000031,-0.1000001]
[-3.65618941,-0.11381679];[1.37032125e-03,4.30108510e-04,9.99918368e-01,1.26959042e-02];[[-5.26382207, 0.30319297], [-0.9990716, -4.25885784], [8.40000065, 1.59999992], [-3.39999952, -3.80000016], [-7.89999959, 0.1999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.5804450436517037], [0.3470161484715128], [0.7166232513895449], [0.8120985052498236], [0.34844540427748294], [0], [0], [0], [0], [0]];[-3.39999952,-3.80000016]
[-3.35044555,-3.69516355];[-1.82792180e-04,-2.88123909e-03,-7.73181746e-01,6.34177942e-01];[[-5.23579297, 0.36169608], [8.40000046, 1.59999992], [-4.09999973, -3.40000015], [-7.79999978, 0.2999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.3708985144823699], [1.3903618186598687], [1.4036139761091955], [0.31737392326833735], [0], [0], [0], [0], [0], [0]];[-4.09999973,-3.40000015]
[-4.06357259,-3.38457865];[1.07993889e-03,6.86411873e-04,9.97966397e-01,6.37293916e-02];[[8.77185148, 1.75930257], [-7.79999978, 0.2999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.75202400949371], [38.47753439293472], [0], [0], [0], [0], [0], [0], [0], [0]];[8.77185148,1.75930257]
[8.83860481,1.81625769];[-0.00210869,-0.00985159,0.07854269,0.99685984];[[-7.95000035, -0.30000001], [-7.10000034, -3.10000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[102.88286790722995], [112.48887856954536], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.10000034,-3.10000005]
