[2.85754981,0.82924393];[-7.47091434e-04,-2.45695498e-03,1.28087931e-01,9.91759493e-01];[[4.4403593, -0.1542301], [1.39508973, 3.26139304], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[96.71123869974156], [96.13015580651101], [0], [0], [0], [0], [0], [0], [0], [0]];[4.4403593,-0.1542301]
[4.21830708,-0.02798651];[-3.50943123e-04,7.61517712e-05,-2.52306481e-01,9.67647309e-01];[[4.34491654, -1.76173194], [9.80000015, 1.29999992], [8.30000012, 1.79999993], [1.20000002, 2.89999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[104.64282475674472], [85.15963136388443], [93.23599948317252], [93.72370592704004], [0], [0], [0], [0], [0], [0]];[4.34491654,-1.76173194]
[4.32946366,-1.49989204];[1.58112000e-03,-1.87947391e-04,-6.66903130e-01,7.45142731e-01];[[4.63198461, -2.14777145], [1.76382578, -2.46131528], [8.90000013, 1.60000033], [7.49945784, -3.10092211], [1.20000002, 2.90000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[114.09086040964624], [113.65380029319428], [102.32685136727589], [202.53949295853926], [103.15817797056673], [0], [0], [0], [0], [0]];[7.49945784,-3.10092211]
[7.27494606,-2.99033277];[1.17854682e-04,1.61429501e-03,-2.26071574e-01,9.74109353e-01];[[0.89478214, 2.27297466], [8.90000013, 1.6000003], [2.59328365, -4.56823349], [1.60000002, -3.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[92.11232764358263], [140.84153504129705], [99.73182149604268], [457.6996206962939], [0], [0], [0], [0], [0], [0]];[1.60000002,-3.19999977]
[1.85998923,-3.17918919];[0.00176778,-0.0024671,0.9989259,-0.04623668];[[-0.59409903, 0.87416325], [-1.64999996, -2.40000004], [1.00000006, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[147.4165097590109], [0.0], [125.32597414167573], [0], [0], [0], [0], [0], [0], [0]];[-0.59409903,0.87416325]
[-0.59963968,0.94476352];[0.00584443,-0.00232077,0.92215432,0.38677109];[[-2.28170934, -0.72337225], [-1.85000005, 5.35000008], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.515066687294436], [16.786141736436985], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.28170934,-0.72337225]
[-2.1064969,-0.55492755];[0.00184502,-0.00514556,0.92854009,-0.37119189];[[-2.05813826, -2.03256363], [-2.89999976, -0.40000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.5789263037078], [17.4126004373416], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.05813826,-2.03256363]
[-2.06732993,-1.76778574];[0.00102129,0.00602082,-0.70090133,0.71323211];[[-2.89999976, -0.30000001], [-3.39999976, -3.80000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.064312366033715], [17.064312366033725], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.39999976,-3.80000006]
[-3.29995053,-3.58341056];[-0.0018281,0.00495277,-0.81770835,0.57560852];[[-4.6892529, -0.2284508], [-5.30000034, -3.49999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.00936496587932], [20.17047037092334], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.30000034,-3.49999986]
[-5.05254818,-3.50931583];[0.00647461,-0.00363118,0.99977625,0.01980773];[[-4.34999992, -0.24999981], [-8.39999998, -1.24999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.131786501512007], [15.93776280418011], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.34999992,-0.24999981]
[-4.23833904,-0.02558983];[0.00594101,0.00327933,0.6928401,0.72105933];[[-6.85000033, 2.20000022], [8.89999991, 1.60000021], [-1.30000025, 5.30000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.40980519061841], [29.676541374967947], [21.26254138574808], [0], [0], [0], [0], [0], [0], [0]];[8.89999991,1.60000021]
[8.82504739,1.62487887];[-4.45946855e-04,-2.69132385e-03,-5.74177976e-02,9.98346511e-01];[[-6.85337789, 2.20823497], [-1.40000025, 5.20000037], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[35.041521606415905], [32.81509858235646], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.85337789,2.20823497]
