[0.16768797,0.21758243];[2.57650404e-04,9.60840325e-04,2.93172287e-01,9.56059114e-01];[[3.15000005, 0.55000001], [3.40000005, -1.50000003], [2.10000003, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.549178664690448], [493.78041018995447], [14.451262372440022], [0], [0], [0], [0], [0], [0], [0]];[3.40000005,-1.50000003]
[3.39696815,-1.4645588];[3.95673407e-04,-2.05158355e-03,-3.54391777e-01,9.35094704e-01];[[7.41955328, -2.01013923], [5.10000008, 0.7000003], [5.00000008, -2.99999976], [4.79070616, -1.30961132], [0.90000001, 2.90000033], [0.80000001, -2.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.13968721216474], [32.913483923513155], [32.93725108055878], [0.0], [30.15901610196297], [178.5657816517374], [0], [0], [0], [0]];[0.80000001,-2.99999976]
[1.34661471,-3.26221253];[-0.00334498,-0.0012162,0.94624795,-0.32342258];[[-0.8424329, -4.48384746], [5.63285793, -2.50607631], [7.60760689, -0.18404745], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.719885499205798], [6.240447084862976], [5.758788518680543], [0], [0], [0], [0], [0], [0], [0]];[-0.8424329,-4.48384746]
[-0.62346076,-4.36828695];[-0.00397171,-0.0011014,0.97043387,-0.24133194];[[-0.45442933, -1.16760735], [8.24473667, -0.18247205], [5.20000007, -2.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[148.54900042167372], [5.178225668684969], [5.559819315627033], [0], [0], [0], [0], [0], [0], [0]];[-0.45442933,-1.16760735]
[-0.91217585,-0.54443805];[0.00479177,-0.0024085,-0.17052296,0.98533911];[[-3.69999978, 1.56666698], [5.20000035, -2.69999975], [-2.19999976, -0.39999972], [-2.34221792, -1.90030491], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.6369165542302255], [5.398885158119186], [16.204032466486286], [15.433379229940003], [0], [0], [0], [0], [0], [0]];[-2.19999976,-0.39999972]
[-2.18057761,-0.36355323];[-0.00136872,-0.00190826,0.99758536,-0.06941131];[[6.58942045, 2.70082919], [-3.69999978, 1.56666698], [5.20000035, -2.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.727096478438337], [5.1731612705872285], [4.778299387211114], [0], [0], [0], [0], [0], [0], [0]];[6.58942045,2.70082919]
[6.36145944,2.59537836];[9.30195447e-04,-4.45661539e-03,2.42556749e-01,9.70126543e-01];[[-3.14731022, 0.27507997], [-3.69999978, 2.10000032], [8.6000004, 1.70000031], [5.30000035, -2.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[58.110367455662704], [57.762834835362256], [63.729066515912386], [61.87886480916385], [0], [0], [0], [0], [0], [0]];[8.6000004,1.70000031]
[8.36580166,1.78924136];[0.00560693,-0.00378357,-0.18663112,0.98240678];[[-3.69999978, 1.56666698], [6.26699877, -4.75858188], [8.6000004, 1.0000003], [5.30000035, -2.69999975], [-2.29999976, -0.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[145.8474177337638], [59.095274366367846], [62.97811370325977], [61.09595776372043], [127.91632792822448], [0], [0], [0], [0], [0]];[-3.69999978,1.56666698]
[-3.84100354,1.51931395];[-0.00125879,-0.00157853,0.99607827,0.08845336];[[5.29999985, -2.79999975], [-3.40000028, 2.70000033], [-3.90000029, 0.5000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[109.60401720975304], [77.20344940327558], [0.0], [0], [0], [0], [0], [0], [0], [0]];[5.29999985,-2.79999975]
[5.08524232,-2.67712083];[0.00407883,-0.00159459,-0.26916615,0.96308379];[[-8.06446188, -0.70095046], [-3.30000028, 2.80000033], [-5.60000032, 0.7000003], [-6.20000033, 2.40000032], [-8.20000036, 1.1000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[97.5330905854286], [106.63484914857729], [137.50139205353415], [111.31049259110927], [181.02431964290759], [0], [0], [0], [0], [0]];[-8.20000036,1.1000003]
