[0.1514284,0.19513322];[-5.23373237e-04,3.44968543e-04,2.73937859e-01,9.61747193e-01];[[2.6692255, 0.55891513], [2.30000004, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[202.10396246345573], [200.86561016246205], [0], [0], [0], [0], [0], [0], [0], [0]];[2.6692255,0.55891513]
[2.41330187,0.5115515];[-9.33168255e-04,-1.96775293e-03,8.96368185e-02,9.95972136e-01];[[2.88914414, -0.93525882], [1.63466385, 3.70901152], [4.08719827, 0.54979652], [3.9576917, 5.36594957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.370078996118398], [8.301118318553073], [9.370078996118398], [8.301118318553076], [0], [0], [0], [0], [0], [0]];[2.88914414,-0.93525882]
[2.7995574,-0.70960717];[-6.90734688e-04,-1.36610382e-03,-5.62510196e-01,8.26788936e-01];[[1.68663085, -2.21824572], [4.40000007, -2.20000014], [1.10000002, 2.79999993], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.661085044641732], [10.661085044641732], [9.547012646158578], [0], [0], [0], [0], [0], [0], [0]];[1.68663085,-2.21824572]
[2.4941111,-1.67005571];[-0.00144949,-0.00166433,-0.30697694,0.9517144];[[7.50000011, -3.40000015], [6.95779324, -1.90784955], [4.40000007, -2.30000013], [4.34023666, -5.21197271], [2.19515038, 4.92345285], [1.50000002, -4.10000016], [1.10000002, 2.79999994], [0.30000001, -3.20000015], [0.0, 0.0], [0.0, 0.0]];[[10.17424624242432], [10.17424624242432], [9.62357393346622], [10.174246242424326], [9.319814891374648], [9.62357393346622], [10.174246242424317], [39.054030734386565], [0], [0]];[0.30000001,-3.20000015]
[0.11329155,-3.83282792];[-0.00102755,-0.00302228,-0.7341442,0.6789861];[[0.26043804, 1.08052066], [6.99014473, -1.90801311], [7.80000016, -3.49999975], [4.70000011, -2.79999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.106076069939746], [9.106076069939746], [9.106076069939753], [9.727674733070302], [0], [0], [0], [0], [0], [0]];[4.70000011,-2.79999974]
[4.45078832,-2.86568202];[1.05036595e-04,3.67271159e-04,1.24619023e-01,9.92204591e-01];[[4.0000001, 5.30000038], [1.18752837, 2.81707239], [0.10000004, 1.00000032], [-1.20852566, -0.91539657], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.59539666217966], [7.603243692603888], [22.830580428016823], [24.5852251907236], [0], [0], [0], [0], [0], [0]];[-1.20852566,-0.91539657]
[-1.42903097,-0.6539651];[-2.99929336e-04,7.98946038e-04,8.25652174e-01,5.64178803e-01];[[-4.09999991, 0.1500003], [-0.16346515, 2.68078455], [8.80000028, 1.10000032], [3.90000021, 5.30000038], [-2.51415884, -1.92265517], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.4473297778514839], [0.432179693563695], [2.7858971876081244], [0.41731386258655745], [0.44705423274059547], [0], [0], [0], [0], [0]];[8.80000028,1.10000032]
[8.8508332,1.08361064];[-0.00187126,0.0017428,0.20567834,0.97861631];[[-3.89999976, 1.36666689], [-0.3999997, 4.00000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[264.9164646951449], [133.68937445556253], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.89999976,1.36666689]
[-4.02845056,1.33389209];[2.62361705e-04,5.28836672e-05,9.93539700e-01,1.13484820e-01];[[-4.9815713, 0.07744595], [3.89999982, 5.30000038], [-7.90000035, 2.00000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [277.9713467071495], [330.0175950987428], [0], [0], [0], [0], [0], [0], [0]];[-7.90000035,2.00000033]
[-7.86795187,2.03586976];[0.00771795,-0.00148574,0.99976765,-0.0200715];[[3.9000006, 5.30000038], [-7.59999957, -2.69999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[349.83930990293806], [344.60820687133554], [0], [0], [0], [0], [0], [0], [0], [0]];[3.9000006,5.30000038]
[3.6723904,5.19869734];[0.0013268,-0.00638591,0.23111281,0.9729051];[[-8.9214522, -3.80922294], [-5.49999954, -3.49999975], [-6.99999956, -3.19999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[269.6147014403955], [295.0762669740623], [291.80776620486995], [0], [0], [0], [0], [0], [0], [0]];[-5.49999954,-3.49999975]
