[0.16400865,0.21413724];[9.51601205e-05,7.84249408e-04,2.85084500e-01,9.58502064e-01];[[2.76666671, 1.46666669], [2.30000004, -1.40000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.967272763939588], [14.940444115591625], [0], [0], [0], [0], [0], [0], [0], [0]];[2.76666671,1.46666669]
[2.54236304,1.35259932];[-0.00201539,-0.00142413,0.23811317,0.97123429];[[2.68426054, -1.27183953], [1.03149576, 2.60506655], [2.18685198, 4.99438143], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[186.75222119365432], [191.83535926090306], [174.8142928966808], [0], [0], [0], [0], [0], [0], [0]];[1.03149576,2.60506655]
[0.09774163,1.30183036];[-0.00146388,0.00289668,0.93863574,-0.34489479];[[0.89111644, -0.48347034], [4.76233387, 0.19735867], [-2.10000004, 2.70000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.868145033718028], [5.3850484723522065], [5.868145033718028], [0], [0], [0], [0], [0], [0], [0]];[0.89111644,-0.48347034]
[0.7756175,-0.25086051];[3.11963908e-04,-2.38559592e-03,-5.19495400e-01,8.54469866e-01];[[-1.77991941, -1.322387], [4.25264108, 0.04155871], [3.20432354, -1.75437275], [5.91995049, 2.67158747], [0.09999987, -4.59999979], [-0.40000014, 4.40000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.777226616633636], [5.379615508034076], [5.379615508034076], [5.037677227562127], [5.037677227562129], [5.379615508034076], [0], [0], [0], [0]];[-1.77991941,-1.322387]
[-1.74221208,-1.27117337];[-8.91756564e-04,2.78489738e-03,9.48296511e-01,-3.17372315e-01];[[-2.03756164, -2.09565674], [-0.35000009, -4.04999988], [3.69999997, -1.59999984], [1.69999994, -4.19999988], [-0.40000009, 4.40000025], [-3.90000014, -0.49999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [12.019641090940913], [23.7201984309296], [7.239319042106629], [7.666774244696827], [8.147535132707942], [0], [0], [0], [0]];[3.69999997,-1.59999984]
[3.80388088,-1.57369426];[-0.00109935,-0.00154003,-0.14569639,0.98932754];[[1.05000052, -4.39999983], [-0.66666617, -3.49999982], [-3.84999955, 0.80000025], [5.45000058, -2.84999981], [-3.79999955, -4.29999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.264749000395554], [10.736454654853606], [10.650150281709163], [11.77295139342022], [43.94893977516377], [0], [0], [0], [0], [0]];[-3.79999955,-4.29999983]
[-3.91315551,-4.30667478];[-0.00105453,0.00249297,0.96212189,-0.27260621];[[-6.9333331, -2.83333309], [-3.89999973, 0.8000003], [8.40000046, 0.8000003], [5.80000042, -2.79999975], [3.32295894e-07, -4.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.31240863346298], [22.312408633462997], [57.3088197850846], [35.39356498715573], [22.312408633462997], [0], [0], [0], [0], [0]];[8.40000046,0.8000003]
[8.3155857,0.72333946];[5.79801197e-04,-1.60058479e-03,3.14533555e-01,9.49244832e-01];[[-5.05435354, 0.04406945], [3.47197055e-07, -4.49999978], [-1.99999968, 5.40000037], [-7.59999977, -2.69999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[41.74716547237683], [26.935948475714177], [26.935948475714177], [35.259624039172216], [0], [0], [0], [0], [0], [0]];[-5.05435354,0.04406945]
[-4.79184804,0.02872432];[-1.43233027e-03,9.12494983e-04,9.98938131e-01,4.60403319e-02];[[-5.06666639, 0.20000029], [-7.92200354, -2.69068763], [0.10000035, -4.39999978], [-8.39999978, -0.89999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[80.31565206160109], [61.41271815831392], [94.96356940536056], [0.0], [0], [0], [0], [0], [0], [0]];[0.10000035,-4.39999978]
[-0.0844954,-4.23792786];[-8.24780796e-04,-1.31644402e-03,-3.44246902e-01,9.38877873e-01];[[-3.99999971, 2.40000032], [-7.89999977, -2.59999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[65.96346985558911], [140.56067243099815], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.89999977,-2.59999975]
