[0.16183581,0.21168416];[1.75551910e-04,6.25277348e-04,2.84945902e-01,9.58543385e-01];[[2.08193973, 0.7393465], [2.60000004, -1.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.756912585858421], [9.954475478227346], [0], [0], [0], [0], [0], [0], [0], [0]];[2.08193973,0.7393465]
[1.84049767,0.66583668];[-0.00113543,-0.00270798,0.14664513,0.98918481];[[4.41127145, 1.05732497], [2.73087398, -0.87921921], [1.17791704, 2.50545005], [1.03505552, -1.00670004], [2.16563082, 4.20772123], [0.19250509, 0.71915466], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[346.0763209492964], [345.36634980667736], [355.98026788237206], [354.9803863369519], [323.68563333667413], [352.89729307123366], [0], [0], [0], [0]];[1.17791704,2.50545005]
[1.25881121,2.26409967];[-2.31175012e-03,-4.61454969e-04,8.09953129e-01,5.86489888e-01];[[1.182398, 3.39612481], [2.07085758, 4.85915637], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.53452429732638], [23.528222111863297], [0], [0], [0], [0], [0], [0], [0], [0]];[1.182398,3.39612481]
[1.20138898,3.13366956];[-2.32817089e-03,-1.84996209e-04,7.35304738e-01,6.77732605e-01];[[4.5687143, 0.23954457], [0.75624565, 3.40743663], [-0.31389061, 0.3693746], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.623870804424257], [23.85923190030448], [274.361956241166], [0], [0], [0], [0], [0], [0], [0]];[-0.31389061,0.3693746]
[-0.18276407,0.57696988];[-0.00238789,0.00267884,0.86966605,-0.49362748];[[3.20012933, -1.76484907], [-1.29999985, 4.93333346], [-1.59999986, -2.09999997], [-3.19999988, -0.59999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.89271923266525], [19.905895691635806], [137.6413884755799], [19.971634224037473], [0], [0], [0], [0], [0], [0]];[-1.59999986,-2.09999997]
[-1.54197651,-1.9170189];[4.34607904e-04,-3.02345526e-03,-7.85844285e-01,6.18416890e-01];[[-1.10052223, 4.67960962], [-1.34930498, -3.24490886], [4.11512423, -2.97758818], [3.40000025, -1.40000013], [-2.40359712, -2.02283788], [-4.09999986, -0.30000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.609785290485164], [23.430216170390846], [20.740298308196824], [132.51630326379745], [23.341961918393675], [23.386804821715653], [0], [0], [0], [0]];[3.40000025,-1.40000013]
[3.57413303,-1.32713064];[-3.06165631e-04,-1.27839458e-03,-4.69946443e-02,9.98894274e-01];[[-3.88333289, 1.3333334], [-5.49999958, -2.69999999], [6.06966846, -2.80304236], [6.3000006, -5.30000003], [5.30000058, -0.59999996], [2.85000055, -3.85000001], [-0.89999951, -4.00000001], [-5.79460573, 0.00184232043], [0.0, 0.0], [0.0, 0.0]];[[602.6907967804893], [830.9733961872322], [217.51425120914044], [239.8400670288454], [0.0], [216.52932815522635], [207.1489381788169], [417.7267730118734], [0], [0]];[-5.49999958,-2.69999999]
[-5.26117265,-2.62697201];[4.16136495e-04,2.22317740e-03,9.85259975e-01,-1.71048701e-01];[[8.70780685, 0.57090469], [-3.89999952, 1.40000032], [5.5864723, -2.72875494], [-7.14999957, -2.94999975], [2.30000058, -3.69999976], [-0.89999947, -4.29999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[48.26073976762755], [36.255396611795994], [38.691185571871486], [0.0], [29.596478845110667], [30.690918463829643], [0], [0], [0], [0]];[8.70780685,0.57090469]
[8.55052205,0.49569804];[-0.00187561,-0.00159256,0.2322141,0.97266158];[[-3.89999952, 1.36666688], [2.30000058, -3.59999986], [-0.99999947, -4.39999987], [-5.51475, 0.01150694], [-8.09999958, -0.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.5065842533324474], [0.7783171358848661], [0.7591836380421912], [1.745075054512712], [2.703883465065904], [0], [0], [0], [0], [0]];[-8.09999958,-0.59999982]
[-8.31617148,-0.67533508];[0.03657157,-0.14256251,0.9870691,0.06350618];[[1.20000054, -4.49999978], [0.30000053, 4.90000036], [-3.59999953, -4.19999977], [-4.19999954, 2.70000033], [-6.68464231, -3.73857546], [-7.09999958, 2.80000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[1.20000054,-4.49999978]
