[0.16280822,0.21118595];[-3.13596191e-04,4.67965847e-04,2.85112776e-01,9.58493816e-01];[[3.00000005, 0.70000001], [2.30000004, -1.30000002], [2.10000003, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[616.1901331089896], [592.9038278534206], [607.8571073757968], [0], [0], [0], [0], [0], [0], [0]];[3.00000005,0.70000001]
[2.74285889,0.64710285];[-0.00144993,-0.00127691,0.10266318,0.99471431];[[3.26474674, 4.44292439], [0.86774358, -0.80981445], [5.60000008, -1.50000003], [4.06138992, -1.8026619], [2.90000004, -0.80000001], [1.30000002, 2.90000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.521882732995852], [20.806479165589813], [18.564484639033576], [20.912711441551043], [20.651275662439666], [20.79850015102199], [0], [0], [0], [0]];[4.06138992,-1.8026619]
[3.94167488,-1.57968527];[1.24184807e-03,-3.47280853e-04,-5.12652725e-01,8.58595082e-01];[[8.60000013, 1.70000031], [8.00000012, 0.20000028], [4.70000007, -2.79999976], [3.60000005, 4.70000035], [1.20000002, 2.70000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[39.90288143923733], [43.88581902042528], [48.222598532942136], [40.07432374798731], [43.90410919822841], [0], [0], [0], [0], [0]];[4.70000007,-2.79999976]
[4.55840011,-2.57356369];[1.41275237e-03,-1.92250494e-04,-4.86300057e-01,8.73790723e-01];[[3.17071872, 4.8011841], [8.60000013, 1.70000002], [1.20000002, 2.70000004], [1.00000002, -2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[40.73292165896944], [40.7048318306129], [40.86673932420289], [844.0875104833673], [0], [0], [0], [0], [0], [0]];[1.00000002,-2.80000004]
[0.77326646,-3.22432946];[-8.17654443e-04,3.73297829e-04,8.85749026e-01,4.64163615e-01];[[1.02478634, 2.39564195], [0.14926251, 1.04042808], [8.60000018, 1.70000002], [3.60000011, 4.70000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[203.82962894068578], [1612.4371219456984], [191.20296456078614], [193.78189497372037], [0], [0], [0], [0], [0], [0]];[0.14926251,1.04042808]
[0.17628382,1.19299794];[-0.00092792,0.00239107,0.8136085,0.58140748];[[-2.30829439, -1.59346542], [8.70000023, 1.80000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[239.5828133929492], [43.810548312328], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.30829439,-1.59346542]
[-2.14403407,-1.39885822];[0.00269589,0.0017349,0.90813282,-0.41866992];[[8.70000004, 1.80000002], [-2.70000013, -2.20000004], [-3.30000013, -0.20000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.723543832341946], [57.10450290138888], [116.09166406186479], [0], [0], [0], [0], [0], [0], [0]];[-3.30000013,-0.20000001]
[-3.09902605,-0.37159998];[0.00255974,0.0040245,0.91539007,0.40253978];[[-2.65719211, -2.12506425], [8.69999988, 1.80000002], [7.3809247, 3.50328779], [-3.80000031, -3.70000006], [-4.00000031, -2.98023206e-09], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[71.57181022082888], [49.79043123049061], [51.540464551982055], [54.72288036039651], [77.43261674393491], [0], [0], [0], [0], [0]];[-4.00000031e+00,-2.98023206e-09]
[-3.75559707,-0.10192883];[0.00271313,0.00346503,0.978671,0.2053867];[[-3.99999954, 1.36666668], [8.70000065, 1.80000002], [-3.79999954, -3.70000006], [-6.99999959, 0.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[56.25338138549277], [131.34831300852346], [54.51919483069681], [54.51919483069686], [0], [0], [0], [0], [0], [0]];[8.70000065,1.80000002]
[8.83562858,1.77785331];[-7.36157273e-04,1.45231812e-03,1.70075005e-01,9.85429774e-01];[[-4.82346024, 0.73125281], [-3.90000029, -4.05000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[101.49280606513341], [165.11549077109123], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.90000029,-4.05000006]
[-3.93546343,-4.03627526];[0.00248689,0.00275981,0.94377556,-0.33056602];[[-7.04999958, -2.69999975], [-5.59999956, 0.40000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0652742639542538], [1.1911939524605035], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.59999956,0.40000029]
[-5.60158874,0.47179797];[8.63034980e-04,5.35055048e-03,8.84130574e-01,4.67208480e-01];[[-8.47064544, -2.27391069], [-8.79999979, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.088760445698777], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-8.47064544,-2.27391069]
