[0.17412802,0.22736234];[6.57359692e-05,9.53330554e-04,3.01796695e-01,9.53371821e-01];[[3.00000005, 0.90000001], [1.60000002, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[234.9234069890354], [235.24501906916709], [0], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,2.10000003]
[1.45404031,1.92278264];[0.00147623,-0.00169151,0.44391248,0.89606734];[[3.11397676, -0.06248664], [0.57524696, 3.45772023], [1.79531562, 5.12664461], [0.82261068, -0.80920297], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[167.37779308504372], [169.13896291927892], [154.20583997696477], [17369.800358183667], [0], [0], [0], [0], [0], [0]];[0.82261068,-0.80920297]
[0.86675598,-0.55451227];[-8.82204232e-05,-1.49256530e-03,-7.70363598e-01,6.37603078e-01];[[6.91318331, 2.63381805], [3.5827126, -1.76699948], [5.28750849, 0.99066728], [0.40000001, 2.80000032], [0.30000001, -1.49999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.06497485244841], [23.7307081709743], [23.68658383796386], [24.070696919050157], [968.4535431770686], [0], [0], [0], [0], [0]];[0.30000001,-1.49999974]
[0.39397125,-1.26956395];[-0.00098835,0.0023609,0.90102807,-0.43375323];[[0.56666676, -4.26666645], [5.09326696, 0.94391161], [3.90127642, -1.68758114], [-0.99999993, -3.69999977], [2.91078734, -0.36331236], [-0.49999992, 0.60000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.276043685543776], [24.932400226995338], [25.012325136623293], [25.402980092364917], [27.289405719023183], [27.683754846636315], [0], [0], [0], [0]];[-0.49999992,0.60000029]
[-0.37495498,0.37531857];[-2.15334804e-03,-4.25586554e-04,8.49248880e-01,5.27988203e-01];[[3.62724654, -1.65046546], [7.22567797, 2.70866072], [0.04185075, 2.58560904], [-0.94999997, -4.24999978], [5.26436615, 0.99152154], [1.50000006, -4.59999979], [-1.49999998, -0.99999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.242176666464594], [22.915631887273513], [26.396538250027252], [24.73311397138352], [24.168695626582377], [22.842073124320123], [26.34948125056291], [0], [0], [0]];[0.04185075,2.58560904]
[0.00272657,2.34773753];[-3.05929386e-03,-1.76203956e-05,6.43291706e-01,7.65615064e-01];[[-1.13020097, -4.18568072], [6.88186908, 2.59142923], [3.8505938, -1.7236764], [0.54013544, 4.60375503], [1.50000006, -4.59999979], [-1.49999998, 3.10000033], [-1.49999998, -0.99999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.91114113151439], [22.603057889227212], [23.867468630010148], [25.4910254457726], [22.547514066194047], [25.619565520500128], [24.171293180774462], [0], [0], [0]];[-1.49999998,3.10000033]
[-1.27648336,2.98172681];[-0.00111048,0.00150163,0.96893498,0.24730855];[[7.24101273, 2.92142797], [-1.13051862, -4.18770919], [3.28676593, -1.72312506], [-1.41380869, -1.09843539], [1.50000006, -4.59999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.28571572284479], [105.36739693082818], [23.629745260972644], [345.1535045828309], [22.34483377118865], [0], [0], [0], [0], [0]];[-1.41380869,-1.09843539]
[-1.40630914,-0.84642295];[3.06564458e-04,-5.20236814e-04,-7.14505803e-01,6.99629259e-01];[[4.15790256, -1.60404881], [-0.64999995, -4.24999978], [-1.84999997, -0.89999973], [1.50000008, -4.59999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.375195631489241], [7.375195631489241], [51.78436851467608], [7.375195631489241], [0], [0], [0], [0], [0], [0]];[-1.84999997,-0.89999973]
[-1.72807074,-0.82534709];[-2.04660608e-04,8.36731147e-04,9.88316630e-01,-1.52412213e-01];[[3.40065022, -1.91953791], [6.97610021, 2.5847975], [-0.64999985, -4.24999978], [5.11248636, 0.98388743], [1.50000018, -4.59999979], [-3.39999989, -4.09999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.392327530818514], [68.07975307972755], [0.0], [50.477104402172536], [6.9760588470109], [7.392327530818515], [0], [0], [0], [0]];[6.97610021,2.5847975]
[6.72909094,2.51233431];[-1.16233980e-03,2.73868049e-04,1.42921729e-01,9.89733274e-01];[[3.95017087, -2.95105202], [-1.45220309, -0.2767195], [8.4, 1.20000031], [1.5999999, -4.69999978], [-0.10000012, -4.49999978], [-2.10000015, -1.79999974], [-3.40000017, -3.69999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.264935473198099], [17.187175529186657], [5.7991650730441595], [5.031821672901898], [5.025873816997033], [42.21262612933013], [103.01126902909088], [0], [0], [0]];[-3.40000017,-3.69999977]
