[0.1770427,0.23345072];[7.28917057e-05,7.24999140e-04,3.04868185e-01,9.52394276e-01];[[3.30000005, 1.00000001], [2.40000004, -1.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.227894158992179], [9.95547812554223], [0], [0], [0], [0], [0], [0], [0], [0]];[2.40000004,-1.70000003]
[2.24930283,-1.34011739];[-4.33170937e-04,-1.21036399e-03,-3.17817951e-01,9.48150890e-01];[[5.86680281, -1.92761671], [4.30000006, 0.50000019], [3.10000005, 4.50000025], [1.10000002, 2.80000023], [0.80000001, -2.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.29174502800709357], [0.31551008987717133], [0.2604967841810527], [0.2869758551606542], [14.778024318272491], [0], [0], [0], [0], [0]];[0.80000001,-2.79999986]
[0.40932831,-3.27919408];[0.01618502,-0.01433544,0.97300791,0.22975671];[[2.42761328, 4.6394679], [4.80000012, 1.40000002], [-0.25337214, 1.71699937], [4.70000012, -2.30000004], [-0.81467611, -0.22860458], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[524.9386274798403], [0.0], [2110.4229495628997], [0.0], [1120.235575051421], [0], [0], [0], [0], [0]];[-0.25337214,1.71699937]
[-0.23139951,1.83982819];[-4.24034996e-03,-3.94024927e-04,8.12416682e-01,5.83061753e-01];[[2.60000009, 4.80000007], [5.20000013, -2.50000004], [-1.59999997, -0.80000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[2.60000009,4.80000007]
[2.43294647,4.61734207];[-0.00602459,0.00349835,0.40131276,0.91591458];[[4.91791979, -1.90824839], [-1.71437017, -0.15184311], [5.40692472, 2.83760452], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[4.91791979,-1.90824839]
[-2.26913312,-1.2701107];[-0.00480351,0.00763048,0.99091676,0.13417403];[[-3.35983484, 0.04655219], [-4.09999978, -4.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.35983484,0.04655219]
[-3.19322313,-0.12269781];[-0.00536792,0.00617046,0.91663268,0.39964689];[[-4.1, -4.49999978], [5.41702509, 2.75703526], [-6.19999989, 1.0000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-4.1,-4.49999978]
[-4.01985923,-4.28174569];[-0.00377532,-0.01226792,-0.83216809,0.55437488];[[-4.62445828, 0.15794978], [-4.80000033, -3.19999976], [-5.87069368, 2.18532729], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-4.62445828,0.15794978]
[-4.60392067,0.30718561];[-0.00709573,0.00582141,0.80775586,0.5894457];[[-8.09999997, -2.09999974], [5.60147095, 2.97282922], [-5.89999994, -3.19999976], [-8.24999998, 2.87592411e-07], [-6.60000033, 2.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-8.09999997,-2.09999974]
[-8.26132213,-2.16481189];[0.0024082,0.00843819,0.92224044,-0.38651722];[[5.50183058, 3.06519055], [-8.59999959, -5.29999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[5.50183058,3.06519055]
