[0.17450837,0.23007682];[-4.45751270e-04,4.67743587e-04,3.02414205e-01,9.53176395e-01];[[3.30000005, 0.90000001], [2.30000004, -1.40000002], [2.00000003, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.264580984702803], [9.787174587473265], [9.838200115881902], [0], [0], [0], [0], [0], [0], [0]];[2.00000003,2.30000003]
[1.82545179,2.10071877];[1.14590723e-04,1.72428676e-03,4.11473441e-01,9.11420108e-01];[[3.46473547, 1.29304651], [2.37685911, -1.36171618], [0.40000001, 3.20000004], [0.23588227, -0.20488526], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.38383290554087], [3.866042292243385], [4.38383290554087], [4.38383290554087], [0], [0], [0], [0], [0], [0]];[3.46473547,1.29304651]
[3.23106309,1.40146892];[-6.54612090e-04,6.75149043e-04,-2.13435368e-01,9.76956730e-01];[[5.74361105, 0.47708191], [2.27107747, -1.07647724], [6.8000001, 2.30000003], [0.40000001, 3.00000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.76105179065328], [36.74402906348754], [33.336913288095154], [33.322352096611716], [0], [0], [0], [0], [0], [0]];[5.74361105,0.47708191]
[5.4876844,0.59231624];[-5.56235899e-05,1.98472524e-03,-4.43479617e-02,9.99014175e-01];[[8.25294225, 0.85112338], [5.59884644, -3.76970649], [3.50000005, -2.59999977], [0.40000001, 3.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.128200538936683], [8.041347943607478], [8.071941429594116], [8.060658649335828], [0], [0], [0], [0], [0], [0]];[8.25294225,0.85112338]
[8.39706576,0.81897759];[-0.00201153,0.00457834,0.13825714,0.99038375];[[2.90000004, -2.99999976], [0.40000001, 3.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6596066267397185], [0.6599786057276869], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,3.00000032]
[0.63281765,2.91713012];[0.00129018,0.00556467,0.9874427,0.15787424];[[3.69873483, -3.65615328], [-1.71846439, 0.04064729], [1.92206359, -2.71338654], [-0.99999997, 5.30000036], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.7380104048313095], [3.015787997034801], [3.0859711377754446], [0.7609912582268306], [0], [0], [0], [0], [0], [0]];[1.92206359,-2.71338654]
[1.99785178,-2.84445836];[-0.00320703,-0.00081609,-0.70108583,0.71306921];[[0.27756225, -3.5848805], [-2.18071627, -0.00864478], [9.20000013, -5.40000018], [-2.20000004, -2.30000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.373557048381417], [9.318219928100323], [14.376940478599943], [6.857307459601074], [0], [0], [0], [0], [0], [0]];[9.20000013,-5.40000018]
[4.6821959,2.46671989];[0.00181512,0.00144729,0.93405884,-0.35711157];[[-2.82264826, -1.00225727], [5.01821327, 5.45926476], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[63.077029017646986], [43.198522353970134], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.82264826,-1.00225727]
[-2.61387688,-0.91605371];[0.00270298,0.00151537,0.98699933,-0.16069449];[[-4.06666629, 0.50000021], [-3.84999965, -4.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.37114299211394], [279.3519246105966], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.84999965,-4.09999986]
[-3.77083352,-3.88667199];[-0.00388,-0.00384468,-0.83134152,0.55573504];[[-4.09999956, 0.55000021], [-6.0081529, 0.55801327], [-5.49999958, -3.49999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[51.016112481599656], [50.24818548204779], [76.79552330555472], [0], [0], [0], [0], [0], [0], [0]];[-5.49999958,-3.49999985]
[-4.07449119,0.70134521];[-0.0053847,0.00219713,0.70024625,0.71387769];[[-4.25000028, 0.2000002], [-6.12950212, 0.60597452], [-1.60979712, 5.22513008], [-6.80000032, 2.90000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[63.62639916683299], [51.44930904760826], [54.47843067532111], [50.70976167766866], [0], [0], [0], [0], [0], [0]];[-4.25000028,0.2000002]
