[0.17310867,0.22890847];[-5.64418660e-04,6.83588346e-04,3.02591735e-01,9.53119864e-01];[[3.23333338, 0.86666668], [2.40000004, -1.30000002], [1.50000002, 1.90000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.721275872743394], [11.380104818370762], [11.431871719641512], [0], [0], [0], [0], [0], [0], [0]];[1.50000002,1.90000003]
[1.33275397,1.70460459];[1.13616894e-03,-1.81727351e-04,4.27051311e-01,9.04226659e-01];[[2.91122212, 0.77687312], [2.35044013, -1.26875894], [0.40000001, 3.10000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.221753225046854], [19.168270363777573], [19.322282032588777], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,3.10000004]
[0.5370222,2.87507333];[-0.00273612,0.00089911,0.87374677,0.48637258];[[3.09545629, -0.47653217], [3.63600308, 1.11175185], [0.30000001, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.75881955877084], [19.742283970908435], [21.717527285244003], [0], [0], [0], [0], [0], [0], [0]];[0.30000001,3.20000004]
[0.45253168,2.98030643];[-2.60767719e-03,6.64190976e-04,8.92665825e-01,4.50711096e-01];[[4.36561751, 1.9827925], [4.06120634, -1.30754071], [3.20000005, 0.60000001], [0.30000001, 3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.696220333432805], [133.03184660137936], [19.59878035654629], [21.717527285243985], [0], [0], [0], [0], [0], [0]];[4.06120634,-1.30754071]
[3.90145812,-1.13158735];[-3.65027196e-04,-5.68756486e-04,-4.00726147e-01,9.16197631e-01];[[5.14044073, -2.37142013], [0.02738972, -0.20895103], [5.90000008, -4.60000017], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.01042267370656], [124.13351964257055], [15.123954416378497], [0], [0], [0], [0], [0], [0], [0]];[0.02738972,-0.20895103]
[0.26421954,-0.23594746];[-2.67543114e-04,1.12564143e-04,9.99783917e-01,2.07850565e-02];[[-1.69999999, -3.00000013], [-1.6029743, 3.70160437], [-2.40000003, -0.30000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[34.42129161367913], [16.056373014063613], [40.00735626766154], [0], [0], [0], [0], [0], [0], [0]];[-2.40000003,-0.30000009]
[-1.57209097,-2.36330021];[4.87474874e-04,-3.38003317e-04,-5.96854931e-01,8.02348961e-01];[[-0.55799031, -4.92990321], [7.98305988, -0.08567944], [-3.90000031, 0.19999992], [-4.00000032, 1.79999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.732630852547087], [10.102148585757972], [10.334071441139692], [10.29715846143], [0], [0], [0], [0], [0], [0]];[-0.55799031,-4.92990321]
[-0.64904789,-4.68585654];[-7.27281769e-04,-1.62016361e-03,-5.41036906e-01,8.40996971e-01];[[7.93049622, -0.09461275], [-1.70538974, 3.79724598], [-3.90000031, 0.19999992], [-4.00000032, 1.79999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.053277621559948], [9.240907142004257], [9.64190129371193], [9.237960203287004], [0], [0], [0], [0], [0], [0]];[7.93049622,-0.09461275]
[7.72866495,-0.22175559];[-3.14748294e-03,-2.09823325e-04,2.67211349e-01,9.63632781e-01];[[-3.99999974, 1.79999994], [-3.99999974, 0.19999992], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.44985020828864], [34.98464401017219], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.99999974,0.19999992]
[-3.76494655,0.1743306];[0.00185339,-0.00100814,0.99721658,0.07452952];[[-4.29815172, 0.14558165], [-3.59999954, 2.49999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.85038153615088], [27.261101991140134], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.29815172,0.14558165]
[-5.15399572,2.50216071];[1.69695206e-03,5.19099817e-04,9.50812231e-01,3.09762711e-01];[[-8.20000036, -2.30000012], [-9.20000037, 2.69999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.039528851195751], [2.770531696984437], [0], [0], [0], [0], [0], [0], [0], [0]];[-9.20000037,2.69999996]
