[0.17424238,0.22787444];[-2.69104901e-04,4.93238410e-04,2.99524998e-01,9.54088287e-01];[[2.80000004, -0.20000001], [2.00000003, 2.40000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[133.55063892538033], [131.45588984037775], [0], [0], [0], [0], [0], [0], [0], [0]];[2.80000004,-0.20000001]
[2.55636932,-0.16280172];[-6.28747763e-04,-9.04217772e-04,-6.41880838e-02,9.97937213e-01];[[1.23675182, 2.90698225], [3.11340749, -0.09357481], [3.30000005, -2.09999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.832754774314214], [12.107378721868683], [12.107378721868683], [0], [0], [0], [0], [0], [0], [0]];[3.11340749,-0.09357481]
[2.871603,-0.11304821];[-9.39381348e-04,-5.40464602e-04,3.89122465e-02,9.99242048e-01];[[3.63199712, -2.65271607], [1.26018813, 2.94775313], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.107378721868683], [10.832754774314253], [0], [0], [0], [0], [0], [0], [0], [0]];[3.63199712,-2.65271607]
[3.54990689,-2.41344512];[-7.06629483e-04,-2.39112032e-03,-5.99541117e-01,8.00340066e-01];[[3.98970645, -2.39573608], [5.25433775, -3.3783006], [3.70617285, 4.4014385], [2.00000003, -2.99999986], [1.20000002, 2.90000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.150126095554956], [14.150126095554961], [11.576500376567884], [142.0864101188271], [12.747911748528244], [0], [0], [0], [0], [0]];[2.00000003,-2.99999986]
[2.24397333,-2.9139934];[-8.29229922e-04,6.48739909e-03,9.85838045e-01,-1.67572630e-01];[[3.78930155, 4.40284522], [7.89817643, -2.8092339], [5.20000009, -2.84999976], [1.54737251, 3.50503623], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[76.53925728233948], [11.29678798276762], [12.382913687903995], [10.373218456034742], [0], [0], [0], [0], [0], [0]];[3.78930155,4.40284522]
[3.86852436,4.56136519];[-4.22858653e-04,2.53508288e-03,6.89061378e-01,7.24698423e-01];[[4.94565619, -2.29639726], [-1.40883393, -1.8407439], [7.6695118, -2.80259919], [1.73329866, -5.11133194], [0.6, 5.00000007], [-0.50000002, 2.00000003], [-1.30000003, -4.70000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.743767427885025], [44.09589935481871], [10.743767427885052], [10.229741429052766], [11.307588676557197], [11.307588676557197], [10.229741429052755], [0], [0], [0]];[-1.40883393,-1.8407439]
[-1.58184335,-2.03888185];[-0.00290076,-0.00394122,-0.83391368,0.55187322];[[8.68143272, -2.034338], [5.20000028, -2.80000004], [0.60000021, 5.00000007], [-0.69999981, 3.40000005], [-3.09999985, -0.30000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.80324603790141], [13.20565043206394], [13.205650432063923], [13.631088876860385], [14.0813645965612], [0], [0], [0], [0], [0]];[-3.09999985,-0.30000001]
[-2.94156541,-0.4880174];[5.82619014e-04,7.39274554e-03,9.03421551e-01,4.28689303e-01];[[6.5535574, -4.66950703], [5.20000009, -2.80000004], [0.60000002, 5.00000007], [-0.7, 3.40000005], [-4.20000005, 0.3], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.31559481440792], [36.336778820580754], [13.417043180743018], [13.826451184058008], [14.258409771005947], [0], [0], [0], [0], [0]];[5.20000009,-2.80000004]
[5.12978509,-2.7398859];[-5.61564087e-04,-7.63469895e-04,-2.49512516e-01,9.68371110e-01];[[-4.45000005, -0.30000001], [-0.8, 4.90000007], [-4.40000005, 1.60000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.09008706577707], [20.090087065777062], [32.098990977206284], [0], [0], [0], [0], [0], [0], [0]];[-4.40000005,1.60000002]
[-4.23105361,1.47665616];[2.07566850e-03,5.86633002e-04,9.43803300e-01,3.30500632e-01];[[-0.80000027, 4.90000026], [-4.10000032, 0.10000019], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.7826662521005945], [3.9959250437114084], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.80000027,4.90000026]
[-0.6926554,4.95891023];[0.01300693,-0.00287351,0.47702725,0.87878755];[[8.18609524, -0.19896513], [-4.2000003, 0.10000019], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.328835614098948], [3.390636020365584], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.2000003,0.10000019]
[-4.3548659,-0.03431125];[0.0018638,0.0090827,-0.85005568,0.52661118];[[-8.24999978, -0.49999982], [8.09823799, -0.18904594], [-4.59999973, 0.4000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.0136754627132314], [4.161168933329507], [3.6621550976315507], [0], [0], [0], [0], [0], [0], [0]];[8.09823799,-0.18904594]
[7.85229164,-0.22384831];[5.67484936e-06,8.32654026e-04,1.04698655e-01,9.94503644e-01];[[-4.09999972, 0.1], [-7.99999978, -0.90000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.682424627526352], [7.1048177201210185], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.09999972,0.1]
[-3.85233397,0.08128951];[6.00540810e-04,3.23022784e-03,9.98939727e-01,4.59198541e-02];[[-7.79999978, 1.70000002], [-8.29999978, -0.70000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.20376306036234115], [0.1885765555845198], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.79999978,1.70000002]
