[1.97318067,-1.18453304];[-1.33344284e-03,-3.26447269e-04,-2.52127510e-01,9.67693052e-01];[[1.92097894, 3.55916725], [5.10680604, -4.35455084], [6.7000001, -0.79999973], [4.50000007, 0.50000029], [4.50000007, -2.49999976], [0.80000001, -3.19999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.88352934872224], [8.883529348722236], [65.00603074716322], [8.883529348722236], [8.883529348722236], [77.18356892505929], [0], [0], [0], [0]];[0.80000001,-3.19999977]
[0.79812088,-3.57916188];[0.00242252,-0.00102813,-0.54496944,0.83845177];[[2.2439248, 4.20330168], [0.29776377, 0.15712705], [1.2936767, 2.96363747], [5.30000008, 0.10000028], [5.00000007, -2.39999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[108.71322080145366], [9.957291051654476], [72.89045513650967], [9.128644277861369], [9.957291051654465], [0], [0], [0], [0], [0]];[2.2439248,4.20330168]
[2.2375675,3.96625922];[4.91014950e-04,-1.48805100e-04,7.32697122e-01,6.80554690e-01];[[-1.13857257, -0.12703183], [4.90000006, -2.30000004], [-0.60000002, 4.60000007], [-1.81890011, 3.21136117], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[57.37207941640017], [20.084969911608205], [21.3442713595915], [21.344271359591524], [0], [0], [0], [0], [0], [0]];[-1.13857257,-0.12703183]
[-0.98338391,0.05728344];[-0.00141294,-0.00167364,0.91150036,-0.41129345];[[-2.03849582, -4.09593718], [-1.95274775, -1.72887157], [8.17948246, -0.19724402], [4.90000037, -2.30000004], [-4.99999978, -0.40000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.568352572786736], [42.79361430053324], [16.932350364562954], [17.71834639989989], [18.568352572786722], [0], [0], [0], [0], [0]];[-1.95274775,-1.72887157]
[-2.06617957,-1.82716618];[-6.06863767e-04,2.98498899e-03,-8.00661721e-01,5.99108938e-01];[[-4.2732104, 0.20663421], [7.89976597, -1.84577322], [7.78998709, -0.18280327], [4.90000038, -2.30000004], [-4.19999976, 1.80000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.203944139644102], [12.762942747965182], [12.414681320591411], [12.792065643986504], [6.427512242553412], [0], [0], [0], [0], [0]];[4.90000038,-2.30000004]
[4.69888881,-2.24442079];[-1.05033541e-03,-4.34811440e-04,-1.54722717e-01,9.87957279e-01];[[-4.71594772, 0.43036074], [6.10000039, -2.99999985], [5.59624195, 2.16549683], [-1.99999973, -1.69999983], [-2.19999973, 5.20000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.448891326694986], [0.0], [2.787927201677076], [18.542108636203913], [4.11055049315157], [0], [0], [0], [0], [0]];[-1.99999973,-1.69999983]
[-2.23735775,-1.70587957];[-1.18056236e-03,8.08804277e-04,9.90838591e-01,1.35043823e-01];[[-4.70361607, 0.14190049], [8.40000044, 1.90000032], [-3.79999975, -4.49999978], [-4.09999975, 2.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[705.7472711094917], [810.8727070781027], [563.2928125747998], [0.0], [0], [0], [0], [0], [0], [0]];[8.40000044,1.90000032]
[8.41534349,1.93124866];[-0.00127007,-0.00371115,0.04039478,0.9991761];[[-2.19999953, 5.20000037], [-3.59999955, -4.29999978], [-3.99999956, 0.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[758.3834423528667], [4717.725094537534], [983.5241936844385], [0], [0], [0], [0], [0], [0], [0]];[-3.59999955,-4.29999978]
[-3.74144494,-4.32250063];[8.70131933e-04,9.56602672e-04,9.48527025e-01,-3.16693580e-01];[[-4.09999973, 0.20000029], [-6.39999976, -2.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[664.7575891794745], [676.0637014000694], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.39999976,-2.99999976]
[-6.1662103,-3.11159765];[1.88636880e-03,-3.91944203e-04,9.68141665e-01,2.50395688e-01];[[-4.09999971, 0.20000029], [-7.99999977, -0.49999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[817.7166477321767], [665.5580182651428], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.09999971,0.20000029]
